Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question455,"4. What is the pressure of H2 with compressibility 0.6, molar volume 5 liter/mole at 27oC?","a)	2.9 atm","b)	5.4 atm","c)	9.6 atm","d)	14.5 atm",a,"Explanation: P = znRT/V, => P = 0.6*0.0821*300/5 = 2.9 atm."
Question456,"5. At what temperature, does SO2 with compressibility 2 has pressure 5 atm and molar volume 10 mole/s?","a)	300.5 K","b)	304.5 K","c)	310 K","d)	312.5 K",b,Explanation: T = PV/zR = 5*10/(2*0.0821) = 304.5 K.
Question457,6. What is the compressibility factor of water with density 1 g/liter at 27oC and 1 atm?,"a)	0.25","b)	0.59","c)	0.73","d)	0.91",c,Explanation: z = PM/dRT = 1*18/(1*0.0821*300) = 0.73.
Question458,7. What is the compressibility factor of a liquid of molar mass 90 g and density 10 g/liter at 27oC and 2 atm?,"a)	0.14","b)	0.39","c)	0.51","d)	0.73",d,Explanation: z = PM/dRT = 2*90/(10*0.0821*300) = 0.73.
Question459,"8. What is the pressure of 80 grams of CH4 with compressibility 5, with 10 liter volume at 27oC?","a)	10.5 atm","b)	28.9 atm","c)	44.2 atm","d)	61.5 atm",d,Explanation: P = 5*5*0.0821*300/10 = 61.5 atm.
Question460,9. What is the compressibility of methane with density 10 g/liter at 27oC and 500 atm?,"a)	32.5","b)	34.8","c)	39.6","d)	44.1",a,Explanation: z = PM/dRT = 500*16/(10*0.0821*300) = 32.5.
Question461,10. What is the compressibility of neon (molar mass = 20) with density 20 g/liter at 27oC and 100 atm?,"a)	2.1","b)	3.5","c)	4","d)	6.8",c,Explanation: z = PM/dRT = 100*20/(20*0.0821*300) = 4.
Question462,"11. 90 g glucose is filled in a container at 10 atm, if the volume of container is 2 liter, what is the temperature of glucose (z = 1.5)?","a)	25.4oC","b)	51.7oC","c)	76.9oC","d)	103.5oC",b,Explanation: T = PV/znR = 10*2/(1.5*0.5*0.0821) = 324.8 K = 51.7oC.
Question463,12. How many grams of C2H6 (z = 1.4) is present in the container at 27oC and 5 atm and with volume 10 liter?,"a)	20 g","b)	30.4 g","c)	40.6 g","d)	50.8 g",c,"Explanation: n = 5*10/(1.4*0.0821*300) = 1.45, mass of C2H6 = 1.45*28 = 40.6 g."
Question464,13. What is the volume of 21 g of propane (z = 1.9) at 1 atm and 27oC?,"a)	23.4 liter","b)	37.5 liter","c)	42.1 liter","d)	59.6 liter",a,Explanation: V = 1.9*0.5*0.0821*300/1 = 23.4 liter.
Question465,"14. 1 mole of cyclohexane (z = 1.2) is filled in a container at 27oC and 4 atm, what is the volume of container?","a)	3.8 liter","b)	4.4 liter","c)	5.6 liter","d)	7.4 liter",d,Explanation: V = 1.2*1*0.0821*300/4 = 7.4 liter.
Question466,"15. 39 grams of benzene (z = 1.4) is filled in a container of volume 10 liter at 27oC, what is the pressure of container?","a)	1.7 atm","b)	1.9 atm","c)	2.2 atm","d)	2.5 atm",a,Explanation: P = 1.4*0.5*0.0821*300/10 = 1.7 atm.
Question467,1. Which of the following is not the equation of state?,"a)	Van der Waals Equation","b)	Charles Equation","c)	Holborn Equation","d)	Peng Robinson Equation",b,Explanation: Charles equation is simply P _ 1/V which is not the equation of state.
Question468,2. Virial Equation is a ______,"a)	Arithmetic Progression","b)	Geometric Progression","c)	Harmonic Progression","d)	None of the mentioned",b,"Explanation: Virial equation is PV = RT (1 + 1/V + 1/V2 + 1/V3 + Ð Ð Ð Ð -), which is a geometric progression."
Question469,"3. If the vander waal equation has only one root, what is the relation between a and b?","a)	729a = pb2","b)	243a = pb2","c)	81a = pb2","d)	9a = pb2",a,"Explanation: Vander waal equation, V3 Ð (nb + nRT/p)V2 + (n2a/p)V Ð n3ab/p = 0, comparing with (V Ð Vc)3 = 0, => 3n(a/p)1/2 = n(ab/p)1/3, => 729a = pb2."
Question470,"4. A container has O2 at 5 atm and molar volume 2 liter/mole, if a = 9.24 atm(liter/mole), b = 0.0907 liter/mole, what is the temperature of O2? (Use vander waal equation)","a)	140 K","b)	150 K","c)	170 K","d)	190 K",c,"Explanation: (p + a/V2)(V Ð b) = RT, => T = (5 + 9.24/22)(2 Ð 0.0907)/0.0821 = 170 K."
Question471,"5. A container has H2 at 27oC and molar volume 1 liter/mole, if a = 9.24 atm(liter/mole), b = 0.0907 liter/mole, what is the temperature of H2? (Use vander waal equation)","a)	7.5 atm","b)	12.4 atm","c)	15.6 atm","d)	17.8 atm",d,"Explanation: (p + a/V2)(V Ð b) = RT, => p = 0.0821*300/(1 Ð 0.0907) Ð 9.24/12 = 17.8 atm."
Question472,"6. What is the pressure of CO2 at 0oC, molar volume = 4 liter/mole, if B = Ð 0.053 liter/mole, C = 0.0026 liter2/mole2? (Use virial equation, neglect higher terms)","a)	2.4 atm","b)	4.1 atm","c)	5.5 atm","d)	6.9 atm",c,"Explanation: pV = RT(1 + B/V + C/V2), => p = (0.0821*273/4)(1 Ð 0.053/4 + 0.0026/16) = 5.5 atm."
Question473,"7. A container is filled with a gas at 10 atm with molar volume 1 liter/mole, if B = Ð 0.053 liter/mole, C = 0.0026 liter2/mole2, what is the temperature of gas? (Use virial equation, neglect higher terms)","a)	128.2 K","b)	156.9 K","c)	198.5 K","d)	243.6 K",a,"Explanation: PV = RT(1 + B/V + C/V2), => T = 10*1/[0.0821*(1 Ð 0.053/1 + 0.0026/12)] = 128.2 K."
Question474,8. What is the unit of ÔbÕ in Peng Robinson equation?,"a)	Liter/mole","b)	Liter2/mole2","c)	Mole/Liter","d)	Mole2/Liter2",a,"Explanation: Peng Robinson equation is p = RT/(V Ð b) Ð a_/[V(V + b) + b(V Ð b)], => unit of b = unit of molar volume = liter/mole."
Question475,9. What is the unit of _ in the SRK equation?,"a)	Liter/mole","b)	Mole/Liter","c)	Atm(liter/mole)","d)	It is dimensionless",d,"Explanation: In the SRK equation, _ is a dimensionless function of reduced temperature."
Question476,10. What is the unit of ÔaÕ in RK equation?,"a)	Liter/mole","b)	Atm(liter/mole)","c)	Atm(liter/mole)K0.5","d)	Atm(liter/mole)K",c,"Explanation: RK equation is p = RT/(V Ð b) Ð a/[T0.5V(V + b)], => unit of a = atm(liter/mole)K0.5."
Question477,"1. What is the pressure of a gas at T = 227oC, it is given that A = 5, B = 4 X 104 and C = 0 if T is in kelvin and p in mm Hg?","a)	0.024 mm Hg","b)	0.049 mm Hg","c)	0.075 mm Hg","d)	0.096 mm Hg",b,"Explanation: ln p* = A Ð B/(C + T), => ln p = 5 Ð 4 X 103/(273 +227) = -3, => p = 0.049 mm Hg."
Question478,"2. A materialÕs mass is given by the equation, m = 32P0.02/T0.5, where T is in Kelvin, m is in Kg and P is in mm Hg, what is the mass of material at 127oC, use A = 10, B = 6 X 103 and C = 0?","a)	1.44 Kg","b)	1.69 Kg","c)	1.96 Kg","d)	2.25 Kg",a,"Explanation: ln p* = A Ð B/(C + T) = 10 Ð 6 X 103/(400) = -5, => p = 0.0067 mm Hg, => m = 32*(0.0067)0.02/4000.5 = 1.44 Kg."
Question479,"3. If the pressure of a gas at 27oC is 15 mm Hg, what will be its pressure at 127oC, use B = 5 X 103, C = 0, T is in kelvin and P is in mm Hg?","a)	579 mm Hg","b)	775 mm Hg","c)	961 mm Hg","d)	999 mm Hg",c,"Explanation: ln P1/P2 = B (1/T2 Ð 1/T1), => ln 15/P2 = 5 X 103 (1/400 Ð 1/300), P2 = 961 mm Hg."
Question480,"4. Pressure of a gas at 127oC is 10 mm Hg and the pressure at 527oC is 20 Pa, what is the value of B?","a)	225.1","b)	365.5","c)	499.2","d)	554.5",d,"Explanation: ln 10/20 = B (1/800 Ð 1/400), => B = 554.5."
Question481,"5. Pressure of a gas at temperature T is P, What is the pressure of the gas at 2T, use B = 1?","a)	Pe1/T","b)	Pe1/2T","c)	Pe1/3T","d)	Pe1/4T",b,"Explanation: ln P/P2 = 1*(1/2T Ð 1/T), => P2 = Pe1/2T."
Question482,"6. What is the pressure of CO2 at 325 K, if it is given that pressure at 330 K is 6 Pa, and pressure at 320 K is 4 Pa?","a)	4.5 Pa","b)	5 Pa","c)	5.5 Pa","d)	6 Pa",b,"Explanation: Using linear interpolation, P325K = 4 + (325 Ð 320)*(6 Ð 4)/(330 Ð 320) = 4 + 5*2/10 = 5 Pa."
Question483,"7. Temperature of SO2 at 5 Pa is 395 K and at 10 Pa temperature is 420 K, what is the temperature at 6 Pa?","a)	400 K","b)	405 K","c)	410 K","d)	415 K",a,"Explanation: Using linear interpolation, T6Pa = 395 + (6 Ð 5)*(420 Ð 395)/(10 Ð 5) = 395 + 5 = 400 K."
Question484,8. At which of the following values of pressure a solid melts first?,"a)	5 atm","b)	720 mm Hg","c)	500 KPa","d)	40 Torr",a,Explanation: A solid melts first at the highest pressure which is 5 atm.
Question485,9. A liquid evaporates first at which of the following conditions?,"a)	High attraction forces","b)	Low attraction forces","c)	Low vapor pressure","d)	High boiling point",b,Explanation: A liquid evaporates first at low attraction forces.
Question486,"10. At triple point, vapor pressure of ice is given by ln p* = 18 Ð 2560/T, and vapor pressure of water is given by ln p* = 28 Ð 5120/T, what is the temperature at triple point?","a)	225 K","b)	256 K","c)	320 K","d)	400 K",b,"Explanation: At triple point pressure and temperature of all the phases becomes same, => 18 Ð 2560/T = 28 Ð 5120/T, => 10 = 2560/T, => T = 256 K."
Question487,"11. The vapor pressure of liquid benzene is given by ln p* = 15 Ð 1280/T, and that of vapor benzene is given by ln p* = 23 Ð 2560/T, what is the boiling point of benzene?","a)	160 K","b)	200 K","c)	240 K","d)	300 K",a,"Explanation: At boiling point pressure and temperature of both the phases will be same, => 23 Ð 2560/T = 15 Ð 1280/T, => 8 = 1280/T, => T = 160K."
Question488,"12. The vapor pressure of a compound in a liquid phase is given by ln p* = 21 Ð 2800/T, and in solid phase it is given by ln p* = 28 Ð 3500/T, what is the sublimation temperature of the compound?","a)	100 K","b)	120 K","c)	150 K","d)	200 K",a,"Explanation: At sublimation point pressure and temperature of both the phases will be same, => 21 Ð 2800/T = 28 Ð 3500/T, => T = 100 K."
Question489,"13. For CaOCl2, the rate of evaporation is given by W = 325p0.5M/T1.5 g/liter, where T is in K, p in mm Hg, and M is molecular weight, if its pressure is given by ln p* = 25 Ð 2700/T, what is the evaporation rate at T = 150 K?","a)	256 g/liter","b)	499 g/liter","c)	571 g/liter","d)	744 g/liter",d,"Explanation: ln p* = 25 Ð 2700/150 = 7, => p = 1096.6 mm Hg, => W = 325(1096.6)0.5*127/1501.5 = 744 g/liter."
Question490,"14. What is the vapor pressure of ammonia at 305 K, if it is given that the vapor pressure of ammonia at 315 K is 5 mm Hg and at 325 K it is 6 mm Hg?","a)	1 mm Hg","b)	2 mm Hg","c)	3 mm Hg","d)	4 mm Hg",d,Explanation: p305K = 5 Ð (315 Ð 305)*(6 Ð 5)/(325 Ð 315) = 5 Ð 1 = 4 mm Hg.
Question491,"15. The pressure of a compound at 200 K is 10 mm Hg and at 400 K it is 50 mm Hg, what is the pressure at T = 250 K?","a)	18.1 mm Hg","b)	24.2 mm Hg","c)	36.3 mm Hg","d)	48.4 mm Hg",a,"Explanation: Let the pressure of the compound is given by ln p* = a + b/T, => ln 10 = a + b/200, ln 50 = a + b/400, => ln 5 = -b/400, => b = -643.7, => a = 5.5, => At T = 250 K, ln p* = 5.5 Ð 643.7/250 = 2.9, p = 18.1 mm Hg."
Question492,"1. A vessel contains air and vapor H2O, if the partial pressure of vapor H2O is 4 atm and pressure of air is 1 atm, what is the fraction of vapor H2O in vessel?","a)	0.25","b)	0.5","c)	0.75","d)	0.8",c,Explanation: yH2O = 15/(15 + 5) = 0.75.
Question493,"2. A container has vapor H2O with partial pressure 9 atm, what is fraction of air in the vessel?","a)	0.1","b)	0.4","c)	0.7","d)	0.9",a,"Explanation: Pressure of air = 1 atm, => fraction of air = 1/(1 + 9) = 0.1."
Question494,"3. A system has partial pressure 500 mm Hg and the saturated water vapor has partial pressure 25 mm Hg, what is the fraction of water vapor in the system?","a)	0.01","b)	0.05","c)	0.1","d)	0.5",b,Explanation: Fraction of water vapor = 25/500 = 0.05.
Question495,"4. The partial pressure of a system at 49oC is 125 mm Hg and saturated ammonia vapor has partial pressure 20 mm Hg at 49oC, what is the fraction of ammonia vapor in the system?","a)	0.04","b)	0.08","c)	0.16","d)	0.24",c,Explanation: Fraction of ammonia vapor = 20/125 = 0.16.
Question496,5. What is the dew point of water at standard conditions?,"a)	32oF","b)	212oF","c)	372oF","d)	584oF",b,Explanation: Dew point of water at standard conditions is 100oC = 212oF.
Question497,"6. CH4 is burnt with 100% excess O2 at atmospheric pressure, if CH4 conversion is 100%, what is the pressure at dew point?","a)	0.2 atm","b)	0.4 atm","c)	0.6 atm","d)	0.8 atm",b,"Explanation: CH4 + 2O2 -> CO2 + 2H2O, Basis: 100 moles of CH4, => moles of O2 reacted = 200, => Product contains, moles of CO2 = 100, moles of H2O = 200, moles of O2 = 200. => Fraction of H2O = 0.4, => Pressure at due point = 1*0.4 = 0.4 atm."
Question498,"7. Ethane is burnt with 20% excess O2 at 2 atm, conversion rate of ethane is 50%, what is the pressure at due point?","a)	0.45 atm","b)	0.75 atm","c)	0.9 atm","d)	1 atm",c,"Explanation: C2H6 + 3.5O2 -> 2CO2 + 3H2O, Basis: 100 moles of ethane => moles of O2 reacted = 175, => Product contains, moles of CO2 = 100, moles of C2H6 = 50, moles of O2 = 35, moles of H2O = 150, => fraction of H2O = 0.45, => Pressure at due point = 2*0.45 = 0.9 atm."
Question499,"8. Ethanol is burnt with required amount of O2 at atmospheric pressure, the conversion of ethanol is 100%, what is the pressure at due point?","a)	0.2 atm","b)	0.4 atm","c)	0.6 atm","d)	0.8 atm",c,"Explanation: C2H5OH + 3O2 -> 2CO2 + 3H2O, Basis: 100 moles of ethanol, => moles of O2 reacted = 300, => Product contains, moles of CO2 = 200, H2O = 300, fraction of H2O = 0.6, => Pressure at due point = 0.6*1 = 0.6 atm."
Question500,"9. 100 KPa of water vapor at 27oC is saturated with air in a system, what is the mole fraction of air?","a)	0.230","b)	0.306","c)	0.425","d)	0.503",d,Explanation: Fraction of air = 101.3/(100 + 101.3) = 0.503.
Question501,"10. 10 KPa of water vapor at 27oC is saturated with air in a system, what is the mole fraction of air?","a)	0.21","b)	0.46","c)	0.79","d)	0.91",d,Explanation: Fraction of air = 101.3/(10 + 101.3) = 0.91.
Question502,1. Which of the following defines condensation?,"a)	Change of solid to vapor","b)	Change of vapor to liquid","c)	Change of liquid to vapor","d)	Change of vapor to solid",b,Explanation: Condensation is phase change from vapor to liquid.
Question503,2. Which of the following is not a way of condensation of vapor?,"a)	Cooling at constant volume","b)	Cooling at constant pressure","c)	Compress it isothermally","d)	Compress it",d,"Explanation: Compressing a gas and its temperature is increasing does not condense the vapor, compressing vapor at constant temperature is a way of condensation."
Question504,3. Condensation starts at which point?,"a)	Dew point","b)	Bubble point","c)	Triple point","d)	None of the mentioned",a,Explanation: A dew point is a temperature at which condensation starts.
Question505,"4. If the fraction of water vapor at 27oC and 5 atm is 0.5, then what is the fraction of water vapor at 27oC and 1 atm?","a)	0.1","b)	0.2","c)	0.5","d)	0.8",a,Explanation: Fraction of water vapor at 27oC and 1 atm = 0.5/5 = 0.1.
Question506,"5. What is the fraction of water vapor at 27oC and 1 atm, if the fraction of water vapor at 127oC and 1 atm is 0.8?","a)	0.2","b)	0.4","c)	0.6","d)	0.8",c,Explanation: Fraction of water vapor at 127oC and 1 atm = 0.8*300/400 = 0.6.
Question507,"6. A process is carried out for the feed mixture of 90% air and 10% water vapor, the compressor recovered 90% of water, what is the exit pressure of the compressor if the partial pressure of water vapor is 50 mm Hg?","a)	286.1 mm Hg","b)	396.4 mm Hg","c)	458.7 mm Hg","d)	529.5 mm Hg",c,"Explanation: Exit components, water: 0.1*0.1 = 0.01, air: 0.9, => water = 0.0109 => Total exit pressure = 50/0.109 = 458.7 mm Hg."
Question508,"7. A process is carried out for the feed mixture of 95% air and 5% ammonia vapor, the compressor recovered 40% of ammonia, what is the exit pressure of the compressor, if the partial pressure of ammonia vapor is 10 mm Hg?","a)	225.4 mm Hg","b)	326.8 mm Hg","c)	451.2 mm Hg","d)	593.5 mm Hg",b,"Explanation: Exit components, ammonia: 0.05*0.6 = 0.03, air: 0.95, => yammonia = 0.03/0.98 = 0.0306, => Total exit pressure = 10/0.0306 = 326.8 mm Hg."
Question509,"8. A process is carried out for the feed mixture of 80% air and 20% CO2, the compressor recovered 50% of CO2, what is the exit pressure of the compressor, if the partial pressure of CO2 is 15 mm Hg?","a)	135 mm Hg","b)	145 mm Hg","c)	175 mm Hg","d)	200 mm Hg",a,"Explanation: Exit components, CO2: 0.2*0.5 = 0.1, air: 0.8, => yCO2 = 0.1/0.9 = 0.111, => Total exit pressure = 15/0.111 = 135 mm Hg."
Question510,"9. A process is carried out for the feed mixture of 50% air and 50% methane vapor, the compressor recovered 20% of methane, what is the exit pressure of the compressor, if the partial pressure of methane vapor is 25 mm Hg?","a)	56.3 mm Hg","b)	78.9 mm Hg","c)	92.1 mm Hg","d)	98.7 mm Hg",a,"Explanation: Exit components, methane: 0.5*0.8 = 0.4, air: 0.5, => ymethane= 0.4/0.9 = 0.444, => Total exit pressure = 25/0.444 = 56.3 mm Hg."
Question511,"10. A process is carried out for the feed mixture of 40% air and 60% oxygen, the compressor recovered 2% of oxygen, what is the exit pressure of the compressor, if the partial pressure of oxygen vapor is 5 mm Hg?","a)	2.4 mm Hg","b)	4.8 mm Hg","c)	6.5 mm Hg","d)	8.4 mm Hg",a,"Explanation: Exit components, oxygen: 0.6*0.98 = 0.588, air: 0.4, => yoxygen= 0.588/0.988 = 0.595, => Total exit pressure = 5/0.595 = 8.4 mm Hg."
Question512,1. Which of the following is defined as the ratio of partial pressure and vapor pressure?,"a)	Relative Humidity","b)	Molal Humidity","c)	Humidity","d)	None of the mentioned",a,Explanation: Partial pressure divided by vapor pressure is called relative humidity.
Question513,2. What is the relative saturation of a gas with partial pressure 10 mm Hg and vapor pressure 5 mm Hg?,"a)	0.5","b)	1","c)	2","d)	4",c,Explanation: Relative saturation = 10/5 = 2.
Question514,3. What is the relative humidity of a gas with a partial pressure of water vapor is 5 mm Hg and vapor pressure 8 mm Hg?,"a)	25%","b)	32.5%","c)	45%","d)	62.5%",d,Explanation: Relative humidity = 5/8*100 = 62.5%.
Question515,4. What is the relative saturation of a gas with partial pressure 38 mm Hg and vapor pressure 1 torr?,"a)	0.05","b)	0.5","c)	2","d)	38",d,"Explanation: 1 torr = 1 mm Hg, => relative saturation = 38/1 = 38."
Question516,5. What is the relative humidity of a gas with a partial pressure of water vapor 360 Pa and vapor pressure 1 atm?,"a)	100%","b)	225.1%","c)	355.4%","d)	405.9%",c,Explanation: Relative humidity = 360/101.3*100 = 355.4%.
Question517,6. What is called the ratio of partial pressure of vapor and partial pressure of the dry gas?,"a)	Humidity","b)	Relative humidity","c)	Molal humidity","d)	None of the mentioned",c,Explanation: Partial pressure of vapor divided by the partial pressure of vapor free gas is called molal humidity.
Question518,7. What is the molal humidity of a gas with pressure of gas vapor 10 mm Hg and pressure of vapor free gas 20 mm Hg?,"a)	25%","b)	50%","c)	100%","d)	200%",b,Explanation: Molal humidity = 10/20*100 = 50%.
Question519,8. What is the molal saturation of a gas with 10 moles of gas vapor and 25 moles of dry gas?,"a)	0.2","b)	0.4","c)	0.8","d)	1",b,Explanation: Molal saturation = 10/25 = 0.4.
Question520,9. What is the molal saturation of a gas with 10 Pa partial pressure without vapor and 0.5 atm partial pressure with vapor?,"a)	0.5","b)	1","c)	5","d)	101.3",c,Explanation: Molal saturation = 0.5*101.3/10 = 5.
Question521,10. What is the molal humidity of a gas with partial pressure with vapor 1 mm Hg and partial pressure without vapor 1 atm?,"a)	90%","b)	131%","c)	214%","d)	288%",b,Explanation: Molal humidity = 133.3/101.3*100 = 131%.
Question522,11. Which of the following is equal to the product of humidity and mass of dry gas?,"a)	Moles of water vapor","b)	Mass of water vapor","c)	Mass of gas vapor","d)	None of the mentioned",b,Explanation: Humidity = (mass of water vapor)/(mass of dry gas).
Question523,"12. What is the humidity, if the mass of dry gas is 10 Kg and mass of water vapor is 5 Kg?","a)	25%","b)	50%","c)	100%","d)	200%",b,Explanation: Humidity = 5/10*100 = 50%.
Question524,"13. What is the mass of water vapor, if the mass of dry gas is 10 lb and humidity 10%?","a)	254 g","b)	453 g","c)	746 g","d)	1 Kg",b,Explanation: Mass of water vapor = 10*0.1 = 1 lb = 453 g.
Question525,14. What is the humidity if the moles of dry gas is 25 and mole of water vapor are 15?,"a)	60%","b)	90%","c)	150%","d)	200%",a,Explanation: Humidity = 15/25*100 = 60%.
Question526,15. What are moles of dry gas if the moles of water vapor is 14 at 25% humidity?,"a)	3.5","b)	7","c)	14","d)	56",d,Explanation: Moles of dry gas = 14/0.25 = 56.
Question527,"1. A reaction has produced 5 moles of water vapor and 10 liter bone dry air at 27oC and 15 atm, what is the humidity?","a)	24%","b)	49%","c)	83%","d)	106%",c,"Explanation: Moles of bone dry air = 6, => humidity = 5/6*100 = 83%."
Question528,"2. A reaction has produced 1 mole of water vapor and 5 liter of bone dry air at 27oC and 5 atm, what is the humidity?","a)	100%","b)	104%","c)	115%","d)	169%",a,"Explanation: Moles of bone dry air = 1, => Humidity = 1/1*100 = 100%."
Question529,"3. A reaction has produced 0.4 mole of water vapor and 1 liter of bone dry air at 27oC and 5 atm, what is the humidity?","a)	85%","b)	143%","c)	178%","d)	200%",d,"Explanation: Moles of bone dry air = 0.2, => Humidity = 0.4/0.2*100 = 200%."
Question530,"4. A reaction has produced 1.5 moles of water and 2 liter of bone dry air at 27oC and 25 atm, what is the humidity?","a)	5%","b)	25%","c)	50%","d)	75%",d,"Explanation: Moles of bone dry air = 2, => Humidity = 1.5/2*100 = 75%."
Question531,"5. A reaction has produced 45 moles of water and 25 liter of bone dry air at 27oC and 25 atm, what is the humidity?","a)	25%","b)	104%","c)	180%","d)	209%",c,"Explanation: Moles of bone dry air = 25, => Humidity = 45/25*100 = 180%."
Question532,"6. 1 mole of CH4 reacts completely with excess air, if 5 liter of bone dry air is produced at 27oC and 5 atm, what is the humidity?","a)	25%","b)	50%","c)	100%","d)	200%",d,"Explanation: Moles of bone dry air = 1, moles of H2O produced = 2, => humidity = 2/1*100 = 200%."
Question533,"7. 2 mole of CH4 reacts completely with excess air, if 25 liter of bone dry air is produced at 27oC and 5 atm, what is the humidity?","a)	45%","b)	80%","c)	95%","d)	143%",b,"Explanation: Moles of bone dry air = 5, moles of H2O produced = 4, => humidity = 4/5*100 = 80%."
Question534,"8. 0.1 mole of CH4 reacts completely with excess air, if 1 liter of bone dry air is produced at 27oC and 25 atm, what is the humidity?","a)	4%","b)	15%","c)	20%","d)	52%",c,"Explanation: Moles of bone dry air = 1, moles of H2O produced = 0.2, => humidity = 0.2/1*100 = 20%."
Question535,"9. 50 mole of CH4 reacts completely with excess air, if 25 liter of bone dry air is produced at 27oC and 25 atm, what is the humidity?","a)	20%","b)	80%","c)	200%","d)	400%",d,"Explanation: Moles of bone dry air = 25, moles of H2O produced = 100, => humidity = 100/25*100 = 400%."
Question536,"10. 25 mole of CH4 reacts completely with excess air, if 25 liter of bone dry air is produced at 27oC and 5 atm, what is the humidity?","a)	10%","b)	100%","c)	500%","d)	1000%",d,"Explanation: Moles of bone dry air = 5, moles of H2O produced = 50, => humidity = 50/5*100 = 1000%."
Question537,"11. 0.2 mole glucose reacts completely with excess air, if 5 liter of bone dry air is produced at 27oC and 5 atm, what is the humidity?","a)	40%","b)	80%","c)	120%","d)	160%",c,"Explanation: Moles of bone dry air = 1, moles of H2O produced = 1.2, => humidity = 1.2/1*100 = 120%."
Question538,"12. 1 mole glucose reacts completely with excess air, if 25 liter of bone dry air is produced at 27oC and 5 atm, what is the humidity?","a)	40%","b)	80%","c)	120%","d)	160%",c,"Explanation: Moles of bone dry air = 5, moles of H2O produced = 6, => humidity = 6/5*100 = 120%."
Question539,"13. 6 mole glucose reacts completely with excess air, if 25 liter of bone dry air is produced at 27oC and 20 atm, what is the humidity?","a)	20%","b)	80%","c)	145%","d)	180%",d,"Explanation: Moles of bone dry air = 20, moles of H2O produced = 36, => humidity = 36/20*100 = 180%."
Question540,"14. 10 mole glucose reacts completely with excess air, if 25 liter of bone dry air is produced at 27oC and 30 atm, what is the humidity?","a)	100%","b)	200%","c)	300%","d)	400%",b,"Explanation: Moles of bone dry air = 30, moles of H2O produced = 60, => humidity = 60/30*100 = 200%."
Question541,"15. 1.5 mole glucose reacts completely with excess air, if 5 liter of bone dry air is produced at 27oC and 30 atm, what is the humidity?","a)	50%","b)	150%","c)	200%","d)	300%",b,"Explanation: Moles of bone dry air = 6, moles of H2O produced = 9, => humidity = 9/6*100 = 150%."
Question542,1. What is the degree of freedom of a system with 2 phases and 1 component?,"a)	1","b)	2","c)	3","d)	4",a,Explanation: F = 2 Ð 2 + 1 = 1.
Question543,2. What is the number of phases in a system with 2 degrees of freedom and 2 components?,"a)	1","b)	2","c)	3","d)	4",b,Explanation: P = 2 Ð 2 + 2 = 2.
Question544,3. What is the number of components in a system with 3 degrees of freedom and 2 phases?,"a)	1","b)	2","c)	3","d)	4",c,Explanation: C = 2 Ð 2 + 3 = 3.
Question545,4. What is the degree of freedom of a system with 3 phases and 5 components?,"a)	1","b)	2","c)	3","d)	4",d,Explanation: F = 2 Ð 3 + 5 = 6.
Question546,5. What is the degrees of freedom of a system with 5 phases and 5 components?,"a)	1","b)	2","c)	3","d)	4",b,Explanation: F = 2 Ð 5 + 5 = 2.
Question547,6. What is the degrees of freedom of a system with pure water?,"a)	2","b)	4","c)	5","d)	7",a,Explanation: F = 2 Ð 1 + 1 = 2.
Question548,7. What is the degrees of freedom of a system with a mixture of water and ice?,"a)	1","b)	2","c)	3","d)	4",a,Explanation: F = 2 Ð 2 + 1 = 1.
Question549,"8. What is the degrees of freedom of a system with a mixture of water, liquid benzene and oxygen?","a)	1","b)	2","c)	3","d)	4",c,Explanation: F = 2 Ð 2 + 3 = 3.
Question550,"9. What is the degrees of freedom of a system with a mixture of ice, water and neon?","a)	1","b)	2","c)	3","d)	4",c,Explanation: F = 2 Ð 3 + 2 = 3.
Question551,"10. What is the degrees of freedom of a system with a mixture of copper pyrites, liquid benzene and helium?","a)	1","b)	2","c)	3","d)	4",b,Explanation: F = 2 Ð 3 + 3 = 2.
Question552,"11. What is the degree of freedom of a gas mixture composed of CO2, SO2, SO3, CH4, H2CO3?","a)	2","b)	3","c)	5","d)	7",c,Explanation: F = 2 Ð 1 + 4 = 5.
Question553,"12. What is the degree of freedom of a gas mixture composed of O2, H2O and H2O2?","a)	1","b)	2","c)	3","d)	4",c,Explanation: F = 2 Ð 1 + 2 = 3.
Question554,"13. What is the degree of freedom of a mixture composed Liquid H2O, solid Br2 and gaseous CO2, NO2?","a)	1","b)	2","c)	3","d)	4",c,Explanation: F = 2 Ð 3 + 4 = 3.
Question555,"14. What is the degree of freedom of a mixture composed of liquid O2, gaseous H2 and ice?","a)	1","b)	2","c)	3","d)	4",a,Explanation: F = 2 Ð 3 + 2 = 1.
Question556,"15. What is the degree of freedom of a gaseous mixture composed of CH4, CO2, H2CO3, H2O and H2O2?","a)	1","b)	2","c)	3","d)	4",d,Explanation: F = 2 Ð 1 + 3 = 4.
Question557,1. What is the partial pressure of a 40% gas in a system with vapor pressure 1 mm Hg?,"a)	0.2 mm Hg","b)	0.4 mm Hg","c)	0.6 mm Hg","d)	0.8 mm Hg",b,Explanation: p = 0.4*1 = 0.4 mm Hg.
Question558,2. What is the vapor pressure of 50% gas in a system with partial pressure 2 mm Hg?,"a)	1 mm Hg","b)	2 mm Hg","c)	4 mm Hg","d)	8 mm Hg",c,Explanation: P = 2/0.5 = 4 mm Hg.
