Question,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 314,4. In clapp oscillator voltage is divided by using,a) Resistors,b) Capacitors,c) Inductors,d) Voltage dividing circuits are not used,b,Explanation: In clap capacitor voltage divider circuit is achieved by capacitor because it is a modified version of colpitts oscillator.
Question 315,"5. In a clapp oscillator with three capacitor C1, C2, C3, C1 is used as upper capacitor in voltage divider, C2 is used as lower capacitor in voltage divider and C3 is the third capacitor. For perfect operation which of these capacitor should have minimum value?",a) C1,b) C2,c) C3,d) All of them are equal,c,"Explanation: In a Clapp oscillator C3 is much smaller than C1 and C 2as a result, the equivalent capacitance C is approximately equal to C3. For perfect operation C3 should have minimum value."
Question 317,"7. In a clapp oscillator with three capacitor C1, C2, C3, C1 is used as upper capacitor in voltage divider, C2 is used as lower capacitor in voltage divider and C3 is the third capacitor. For perfect operation of clapp oscillator value of C3 should be",a) Equal to C1,b) Equal to C2,c) Equal to C1 parallel C2,d) Very small,c,Explanation: For perfect operation of clapp oscillator value of C3 should be C1 parallel C2. 
Question 319,9. In the following oscillator which one is more accurate,a) Colpitts oscillator,b) Clapp oscillator,c) Hartley oscillator,d) Simple LC oscillator,b,"Explanation: In clap capacitor, the stray capacitance has no effect in the third capacitor. So oscillator frequency is more stable and accurate. Hence Clapp oscillator have more accurate frequency."
Question 320,"10. What will be the clapp oscillator frequency if the C1, C2, C3 of clap oscillator is 1_F, 1_F, 2_F respectively and inductance is 1_H?",a) 0.1MHz,b) 0.4MHz,c) 1MHz,d) 4MHz,:,"Explanation: Frequency of clap oscillator is  = 3.9 x 105  ie approximately 0.4MHz.Therefore, frequency is equal to ."
Question 321,"1. For a BJT, for common base configuration the input characteristics is represented by a plot between which of the following parameters?",a) VBE and IE,b) VBE and IB,c) VCE and IC,d) None of the mentioned,a,"Explanation: For a BJT, the input characteristics is given by a plot between VBE and IB."
Question 322,"2. For a BJT, for common base configuration the output characteristics is represented by a plot between which of the following parameters?",a) VBE and IB,b) VCE and IC,c) VCB and IC,d) None of the mentioned,c,"Explanation: For a BJT, the output characteristics is given by a plot between VCE and IC."
Question 323,"3. In a BJT, if the collector-base junction is reverse-biased and the base-emitter junction is forward-biased, which region is the BJT operating in?",a) Saturation region,b) Active region,c) Cutoff region,d) None of the mentioned,b,"Explanation: If the collector-base junction is reverse-biased and the base-emitter junction is forward-biased,then the BJT functions in the active region of the output characteristics."
Question 324,"4. In a BJT, if the collector-base junction is forward-biased and the base-emitter junction is forward-biased, which region is the BJT operating in?",a) Saturation region,b) Active region,c) Cutoff region,d) None of the mentioned,a,"Explanation: If the collector-base junction and the base-emitter junction are both forward-biased,then the BJT functions in the saturation region of the output characteristics."
Question 325,"5. In a BJT, if the collector-base junction and the base-emitter junction are both reverse-biased, which region is the BJT operating in?",a) Saturation region,b) Active region,c) Cutoff region,d) None of the mentioned,c,"Explanation: If the collector-base junction and the base-emitter junction are both reverse-biased,then the BJT functions in the cutoff region of the output characteristics."
Question 326,8. Which of the following correctly determines the relation between _ and _?,a) _=_/(1-_),b) _=_/(1-_),c) _=_/(1-_),d) None of the mentioned,a,"Explanation: _ and _ are related as _=_/(1-_)."
Question 327,"10. For common emitter configuration, which of the following is the correct relation?",a) IC < IE,b) IC = _IB,c) IC = _IE,d) All of the mentioned,d,"Explanation: All the relations hold true i.e. IC = _IB and IC = _IE. As  _<1, hence IC < IE"
Question 328,1. Which of the following is not a valid type of a BJT?,a) PNP,b) NPN,c) PPN,d) All of the mentioned,c,"Explanation:A BJT is a device with a layer of semiconductor sandwitched between 2 unlike types of semiconductors and hence, PPN is not a valid type of a BJT."
Question 329,"3. In a BJT, which of the following layers is heavily doped?",a) Collector,b) Emitter,c) Base,d) All of the mentioned.,b,"Explanation: In a BJT, emitter is heavily doped whereas base and collector are lightly doped."
Question 330,"4. Considering the resistances of emitter, collector and base to be Re, Rc and Rb respectively, which of the following is the correct statements?",a) Re > Rb > Rc,b) Rc > Rb > Re,c) Rb > Rc > Re,d) None of the mentioned,c,"Explanation: As the base is lightly doped, the number of free charge carriers are less and hence the resistance is high and as the emitter is the most highly doped, its resistance is low."
Question 331,"5. In a pnp-BJT, when the E-B junction is forward biased and no voltage is applied across C-B junction, what happens to the width of the depletion region in the E-B junction?",a) Increases,b) Decreases,c) Remains same,d) CanÍt be determined,b,"Explanation: On application of a forward bias voltage across E-B junction, the width of the depletion region decreases."
Question 332,6. Which of the following statements is true about proper functioning of a BJT?,a) One junction is forward biased and one is reverse biased.,b) Both junctions are forward biased,c) Both junctions are reverse biased,d) CanÍt be determined,a,"Explanation: In a BJT, one junction is forward biased and the other is reverse biased depending upon the type of the transistor."
Question 333,7. What is the typical order of magnitude of the base current for a BJT?,a) 10  -8 ,b) 10  -9 ,c) 10  -6 ,d) 10  -3 ,c,"Explanation: As the base current is quite lower as compared to the collector and emitter current, it is usually in the order of microamperes."
Question 334,9. Which of the following currents in a BJT is also called leakage current?,a) IC,b) IE,c) ICO,d) ICBO,c,"Explanation: Leakage current in a BJT is the name given to ICO, which is due to the flow of minority carriers."
Question 335,10. Which of the following relations are correct?,a) IE + IB = IC,b) IC + IB = IE,c) IE + IC = IB,d) None of the mentioned,b,"Explanation: On applying KCL to the BJT, we get IC + IB = IE."
Question 336,"1. For a BJT, what is typically the shape of the power dissipation curve, if itÍs plotted on the output characterisics?",a) Parabola,b) Linear,c) Hyperbola,d) Circular,c,"Explanation: Power Dissipation in a BJT is given by P=VCE.IC. This is in the form of k=xy which is the equation of a hyperbola."
Question 337,2. What is the region on the output characteristics below IC = ICEO line called?,a) Active region,b) Cutoff region,c) Saturation region,d) None of the mentioned,b,"Explanation: The region below IC = ICEO is called the cutoff region."
Question 338,3. What is the region on the output characteristics for VCE < VCEsat called?,a) Active region,b) Cutoff region,c) Saturation region,d) None of the mentioned,c,"Explanation: The region below VCE < VCEsat is called the saturation region."
Question 339,"5. Given that the collector power dissipation is 300 mW, what is the value of collector current for the collector to emitter voltage = 12 V?",a) 50 mA,b) 0 mA,c) 25 mA,d) 100 mA,b,"Explanation: P=VCE.IC  => 300mW = (12V)IC => IC=300/12 mA = 25 mA."
Question 340,"6. Given that the collector power dissipation is 300 mW, what is the value of collector to emitter voltage for collector current = 50 mA?",a) 6 V,b) 3 V,c) 0 V,d) None of the mentioned,a,"Explanation: P=VCE.IC  => 300mW = VCE(50 mA) => VCE = 300/50 = 6 V."
Question 341,"8. If the positive lead of a DMM, with the mode set to ohmmeter is connected to the base and the negative lead to the emitter and a low resistance reading is obtained, then what is the type of transistor that is being tested?",a) npn,b) pnp,c) faulty,d) none of the mentioned,a,"Explanation:If the positive lead of a DMM, with the mode set to ohmmeter is connected to the base and the negative lead to the emitter and a low resistance reading is obtained, then what is the type of transistor that is being tested is npn."
Question 342,"9. If the positive lead of a DMM, with the mode set to ohmmeter is connected to the base and the negative lead to the emitter and a high resistance reading is obtained, then what is the type of transistor that is being tested?",a) npn,b) pnp,c) faulty,d) none of the mentioned,a,"Explanation:If the positive lead of a DMM, with the mode set to ohmmeter is connected to the base and the negative lead to the emitter and a low resistance reading is obtained, then what is the type of transistor that is being tested is npn."
Question 343,1. Whichof the following is the correct relatioship between IB and IE?,a) IB = _ IE,b) IB = IE,c) IB = (_ + 1) IE,d) IE = (_ + 1) IB,d,"Explanation: For a BJT, the collector and emitter current are related as IE = (_ + 1) IB."
Question 344,"2. For best operation of a BJT, which region must the operating point be set at?",a) Active region,b) Cutoff region,c) Saturation region,d) None of thye mentioned,a,"Explanation: Operating point for a BJT must always be set in the active region to ensure proper functioning. Setting up of Q-point in any other region may lead to reduced functionality."
