Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,,,,,,,,,,,,,,,,,,,
Question 546,5. Point out the wrong statement:,a) An ESB is both necessary and essential to a Service Oriented Architecture,"b) A client connected to an ESB communicates over a network protocol such as HTTP, Representational State Transfer (REST), or Java Message Service (JMS) to a component (or service)",c) Messages are most often in the form of the SMIL,d) None of the mentioned,c,Explanation: Messages are most often in the form of the eXtensible Markup Language (XML).,,,,,,,,,,,,,,,,,,,
Question 547,6. Which of the following combination is possible in WebSphere ESB ?,a) XML/JMS,b) SOAP/JMS,c) SOAP/HTTP,d) Governance,b,Explanation: An ESB may require a variety of combinations in order to support communications between a service consumer and a service provider.,,,,,,,,,,,,,,,,,,,
Question 548,7. Which of the following statement is incorrect related to catalog servers ?,a) They can be standalone catalog servers serving a single site,b) They cannot serve the role of a global catalog service where two or more catalog servers are merged to include several sites,c) They can be part of a federated catalog service,d) None of the mentioned,b,Explanation: Catalog services have an enormous impact on large system performance and eventually become essential as a SOA internetwork system grows.,,,,,,,,,,,,,,,,,,,
Question 549,8. Which of the following version of WSDL is a W3C standard ?,a) 1.1,b) 2.3,c) 3.1,d) Governance,a,Explanation: The Web Service Description Language (WSDL) is one of the most commonly used XML protocols for messaging in Web services.,,,,,,,,,,,,,,,,,,,
Question 550,9. Which of the following essential object in WSDL is used to support message transfer ?,a) bus,b) binding,c) type,d) none of the mentioned,b,Explanation: The binding is the description of the interface (e.g. RPC) and the transport (e.g. SOAP).,,,,,,,,,,,,,,,,,,,
Question 551,"10. Which of the following object is used to describe the data, usually as part of the XML schema ?",a) operation,b) portType,c) types,d) none of the mentioned,c,"Explanation: The portType defines the capabilities of the Web service, and what operations are to be performed, as well as the messages that must be sent to support the operation.",,,,,,,,,,,,,,,,,,,
Question 552,1. Which of the following architecture is shown in the following figure ?,a) SOMF 2.0,b) SOMF 4.0,c) SOMF 3.5,d) None of the mentioned,a,Explanation: A service in SOMF that is granular and very narrow in scope is referred to as an atomic service.,,,,,,,,,,,,,,,,,,,
Question 553,2. Point out the correct statement:,a) The service object is a container where the service resides,b) The port or endpoint is the unique address of the service,c) The message content is the data and metadata that the service operation is performed on,d) All of the mentioned,d,"Explanation: Each message may consist of one or more parts, and each part must include typing information.",,,,,,,,,,,,,,,,,,,
Question 554,3. Which of the following is language standard for Web service interactions?,a) WS-BPEL,b) WS-XML,c) WS-JSON,d) All of the mentioned,a,Explanation: BPEL is a meta-language comprised of two functions.,,,,,,,,,,,,,,,,,,,
Question 555,4. Which of the following messaging protocol is used with XML in BPEL?,a) WS-Coordination,b) WS-Addressing,c) WS-Transactions,d) All of the mentioned,d,Explanation: BPEL uses XML with specific support for messaging protocols.,,,,,,,,,,,,,,,,,,,
Question 556,5. Point out the wrong statement:,a) XML schema cannot be separate files,b) A WSDL file contains essential message data for a transaction,c) A service contract codifies the relationship between the data to be processed and also the metadata that accompanies that data,d) None of the mentioned,a,"Explanation: The XML document sets up the namespace, defines the interface, specifies the binding, names the service, provides the documentations for the service, and then supplies a schema that may be used to validate the document.",,,,,,,,,,,,,,,,,,,
Question 557,7. Which of the following statement is incorrect related to BPEL?,a) Data functions in BPEL support process data and control flow,b) BPEL includes techniques for error handling and scopes transactions,c) BPEL uses Web services for standards and to assemble and decompose processes,d) None of the mentioned,d,Explanation: BPEL does not have a graphical component.,,,,,,,,,,,,,,,,,,,
Question 558,8. _______ is a methodology for representing business processes as a set of connected visual objects.,a) BPNM,b) BPMN,c) BPMM,d) BPNN,b,Explanation: BPMN stands for Business Process Modeling Notation.,,,,,,,,,,,,,,,,,,,
Question 559,9. Which of the following system models creates graphical representation of software systems in the form of a set of diagram types?,a) SysML,b) UML,c) XMI,d) None of the mentioned,b,Explanation: UML is widely used in the industry for software system modeling.,,,,,,,,,,,,,,,,,,,
Question 560,1. Which of the following is an open-source extension of the part of the UML system dealing with profiles ?,a) UML,b) XMI,c) SysML,d) None of the mentioned,c,Explanation: SysML stands for Systems Modeling Language.,,,,,,,,,,,,,,,,,,,
Question 561,2. Point out the correct statement:,a) The UML standard is the work of the Object Management Group,b) SysML creates graphical representations of software systems in the form of a set of diagram types,c) UML diagrams are separated into four structural types and seven behavior types,d) All of the mentioned,a,Explanation: UML diagrams are separated into seven structural types and four behavior types.,,,,,,,,,,,,,,,,,,,
Question 562,3. Which of the following combines a modeling language with a graphical display of the various SOA components ?,a) Business Process Modeling Notation,b) Service-Oriented Modeling Framework,c) Systems Modeling Language,d) All of the mentioned,b,Explanation: SOMF software allows developers to create an action plan to implement their business processes.,,,,,,,,,,,,,,,,,,,
Question 563,4. Which of the following element in SOMF determines how components are exposed ?,a) Discovery,b) Conceptualization,c) Analysis,d) All of the mentioned,a,"Explanation: In SOMF, the modeling is based on the elements of the service life cycle.",,,,,,,,,,,,,,,,,,,
Question 564,5. Point out the wrong statement:,a) Star model is favored in orchestration processes,b) UML models often use XMI as their interchange format,c) XMI files are generally interchangeable between the different modeling languages that can use them,d) None of the mentioned,c,"Explanation: XMI has been codified as an international standard by ISO, as IS0/IEC 19503:2005.",,,,,,,,,,,,,,,,,,,
Question 565,"6. Which of the following provides information on service and service boundaries, service granularity, and asset analysis ?",a) SMIL,b) SOMA,c) SMA,d) All of the mentioned,b,Explanation: IBM’s Service-Oriented Modeling and Architecture is well-known SOMF modeling technology.,,,,,,,,,,,,,,,,,,,
Question 566,7. How many types of modeling topologies for message passing are used in SOMF ?,a) 1,b) 2,c) 3,d) None of the mentioned,d,Explanation: Four modeling topologies for message passing are used in SOMF.,,,,,,,,,,,,,,,,,,,
Question 567,8. Which of the following topology has no orchestrator in the system ?,a) Circular,b) Hierarchical,c) Network,d) Star,a,Explanation: A circular topology is one where message passing is carried out in a circular fashion.,,,,,,,,,,,,,,,,,,,
Question 568,9. Which of the following topology is useful for services that use broadcasting or multicasting services ?,a) Circular,b) Hierarchical,c) Network,d) Star,d,"Explanation: In a star topology, services are designed to connect through a central service.",,,,,,,,,,,,,,,,,,,
Question 569,10. Which of the following topology has a many-to-many relationship between services and their clients ?,a) Circular,b) Hierarchical,c) Network,d) Star,c,Explanation: The advantage of a network topology is that the overhead associated with message passing has been minimized.,,,,,,,,,,,,,,,,,,,
Question 570,1. Which of the following products have SOA management tool ?,a) HP Software and Solutions OpenView SOA Manager,b) IBM Tivoli Framework Composite Application Manager,c) Oracle BPEL Process Manager,d) All of the mentioned,d,Explanation: These products have SOA tools for network management.,,,,,,,,,,,,,,,,,,,
Question 571,2. Point out the wrong statement:,a) A service in SOMF that is granular and very narrow in scope is referred to as an atomic service,b) An atomic service can be decomposed into smaller services that provide a useful function,c) SOA describes a distributed collection of services performing business process functions,d) All of the mentioned,b,Explanation: A collection of composite services that would form a process module is referred to as a service cluster.,,,,,,,,,,,,,,,,,,,
Question 572,3. Which of the following is an automated SOA problem-resolution package ?,a) AppSight,b) LISA,c) CoreFirst,d) All of the mentioned,a,Explanation: AppSight has root cause analysis services.,,,,,,,,,,,,,,,,,,,
Question 573,4. Which of the following is a SOA transaction manager ?,a) AppSight,b) LISA,c) CoreFirst,d) All of the mentioned,c,Explanation: Enterprise SOA Testing platform specializes in testing Web service components that are used in SOA.,,,,,,,,,,,,,,,,,,,
Question 574,5. Point out the wrong statement:,a) Service clusters may be composed of both atomic services and composite services,b) Large functions such as payroll modules would normally be atomic SOA services,c) A composite service is usually organized as a hierarchical topology and is multi-functional or a coarse-grained entity,d) None of the mentioned,b,Explanation: The Enterprise Service Bus is another example of a composite service.,,,,,,,,,,,,,,,,,,,
Question 575,6. Which of the following present a particular challenge in the area of SOA ?,a) Configuration management,b) Change management,c) Virtualization,d) All of the mentioned,d,Explanation: Virtualization will continue to challenge SOA management software well into the future.,,,,,,,,,,,,,,,,,,,
Question 576,7. Which of the following discovery service can map SOA transactions and dependencies ?,a) CA Wily SOA Solution,b) CSA Wily SOA Solution,c) ESB Wily SOA Solution,d) None of the mentioned,a,"Explanation: CA Wily SOA Solution discover components such as ESBs, Web portals, and various Web services.",,,,,,,,,,,,,,,,,,,
Question 577,8. Which of the following SOA Management System is acquired by Oracle ?,a) AmberPoint,b) HighPoint,c) NetworkPoint,d) None of the mentioned,a,"Explanation: The SOA management software technology is dynamic, with many small vendors’ products some of which have been purchased and rolled into (or are being rolled into) larger systems.",,,,,,,,,,,,,,,,,,,
Question 578,9. SOA offers a ________ design and reusable components in large deployments.,a) physical,b) logical,c) external,d) all of the mentioned,b,Explanation: Software for monitoring and managing an SOA infrastructure plays an important role in large SOA deployments.,,,,,,,,,,,,,,,,,,,
Question 579,10. How many service types appears as a specific shape in SOMF model ?,a) 1,b) 2,c) 3,d) 4,c,"Explanation: In an SOMF model, each of these three service types (atomic, composite, and clusters) appears as a specific shape, and connections are made between them.",,,,,,,,,,,,,,,,,,,
Question 580,1. Which of the following is policy based XML security service by Cisco ?,a) Application Oriented Manager,b) Application Oriented Networking,c) Application Process Networking,d) All of the mentioned,b,Explanation: Cisco has a family of products that enforce rules and policies for the transmission of XML messaging.,,,,,,,,,,,,,,,,,,,
Question 581,2. Point out the wrong statement:,"a) SOA eliminates the use of application boundaries, the traditional methods where security is at the application level aren’t likely to be effective",b) An atomic service cannot be decomposed into smaller services that provide a useful function,c) XML security service may be found in Citrix’s NetScaler 9.0,d) None of the mentioned,d,"Explanation: Citrix NetScaler platforms ensure the best delivery, performance and security for any web, mobile and cloud application.",,,,,,,,,,,,,,,,,,,
Question 582,3. Which of the following is not a OASIS standard for SOA Security ?,a) Security Assertion Markup Language,b) Synchronized Multimedia Integration Language,c) WS-SecureConversion,d) All of the mentioned,b,"Explanation: SMIL (Synchronized Multimedia Integration Language), is a language that allows Web site creators to be able to easily define and synchronize multimedia applications.",,,,,,,,,,,,,,,,,,,
Question 583,4. Which of the following provides data authentication and authorization between client and service ?,a) SAML,b) WS-SecureConversion,c) WS-Security,d) All of the mentioned,a,Explanation: The SAML technology is used as part of Single Sign-on Systems (SSO) and allows a user logging into a system from a Web browser to,,,,,,,,,,,,,,,,,,,
Question 584,,,,,,,have access to distributed SOA resources.,,,,,,,,,,,,,,,,,,,
Question 585,5. Point out the wrong statement:,"a) To address SOA security, a set of OASIS standards have been created",b) WS-SecureConversion attaches a security context token to communications such as SOAP used to transport messages in an SOA enterprise,"c) WS-Trust is an extension of SOA that enforces security by applying tokens such as Kerberos, SAML, or X.509 to messages",d) None of the mentioned,c,"Explanation: WS-Security (WSS) is an extension of SOA that enforces security by applying tokens such as Kerberos, SAML, or X.509 to messages.",,,,,,,,,,,,,,,,,,,
Question 586,6. Which of the following is web services protocol for creating and sharing security context ?,a) WS-Trust,b) WS-SecureConversion,c) WS-SecurityPolicy,d) All of the mentioned,b,"Explanation: WS-SecureConversion is meant to operate in systems where WS-Security, WS-Trust, and WS-Policy are in use.",,,,,,,,,,,,,,,,,,,
Question 587,7. Which of the following is part of a general WS-Policy framework ?,a) WS-Trust,b) WS-SecureConversion,c) WS-SecurityPolicy,d) All of the mentioned,c,"Explanation: WS-SecurityPolicy provides a set of network policies that extend WS-Security, WS-Trust, and WS-SecureConversion so messages complying to a policy must be signed and encrypted.",,,,,,,,,,,,,,,,,,,
Question 588,"8. Which of the following extends WS-Security to provide a mechanism to issue, renew, and validate security tokens ?",a) WS-Trust,b) WS-SecureConversion,c) WS-SecurityPolicy,d) All of the mentioned,a,Explanation: A Web service using WS-Trust can implement this system through the use of a Security Token Service (STS).,,,,,,,,,,,,,,,,,,,
Question 589,9. __________ is a mechanism for attaching security tokens to messages.,a) STT,b) STS,c) SAS,d) All of the mentioned,b,Explanation: STS stands for Security Token Service.,,,,,,,,,,,,,,,,,,,
Question 590,10. Providing XML Gateway SOA security requires a _________ so that encryption is enforced by digital signatures.,a) Public Key Infrastructure,b) Private Key Infrastructure,c) Hybrid Key Infrastructure,d) None of the mentioned,a,Explanation: Another approach to enforcing security in SOA is to use an XML gateway that intercepts XML messages transported by SOAP or REST.,,,,,,,,,,,,,,,,,,,
Question 591,1. Which of the following organization supports the development of standards for cloud computing?,a) OPC,b) OCP,c) OCC,d) All of the mentioned,c,Explanation: OCC is comprised of several universities and interested companies.,,,,,,,,,,,,,,,,,,,
Question 592,2. Point out the wrong statement:,a) MapReduce is Google’s patented software framework that supports distributed large data sets organized by the Google File System,b) MapReduce is Yahoo’s patented software framework that supports distributed large data sets organized by the Yahoo File System,c) The Apache Hadoop open-source system is based on MapReduce and GFS,d) None of the mentioned,b,"Explanation: MapReduce is a programming model and an associated implementation for processing and generating large data sets with a parallel, distributed algorithm on a cluster.",,,,,,,,,,,,,,,,,,,
Question 593,3. Which of the following function is provided by OCC working group?,a) Develop benchmarks for measuring cloud computing performance,b) Provide testbeds that vendors can use to test their applications,c) Support the development of open-source reference implementations for cloud computing,d) All of the mentioned,d,Explanation: The Working Group on Standards and Interoperability For Large Data Clouds extends the architecture for data storage with a distributed file system.,,,,,,,,,,,,,,,,,,,
Question 594,4. OCC support the management of cloud computing infrastructure for scientific research as part of the ________ working group initiative.,a) OSCD,b) OSCDP,c) OSCP,d) All of the mentioned,b,Explanation: OSCDP stands for Open Science Data Cloud.,,,,,,,,,,,,,,,,,,,
Question 595,5. Point out the correct statement:,a) SOA offers an architectural blueprint for accessing diverse optimized services through a loosely coupled standardized method,b) OCC does not support the development of open-source reference implementations for cloud computing,c) SOA offers an architectural blueprint for accessing diverse optimized services through a tightly coupled standardized method,d) None of the mentioned,a,Explanation: SOA is loosely coupled because the service is separated from the messaging.,,,,,,,,,,,,,,,,,,,
Question 596,6. Which of the following is single-purpose application implemented in the cloud?,a) Carbonite backup,b) Google’s Gmail email,c) Twitter’s Instant Messaging,d) All of the mentioned,d,Explanation: Applications of those types have less of a need for the flexibility and loose coupling that SOA provides.,,,,,,,,,,,,,,,,,,,
Question 597,7. Which of the following is used to describe Web services that allow for user input and modification?,a) Web 2.0,b) Web 1.0,c) Web 3.0,d) All of the mentioned,a,Explanation: Web 2.0 is an acronym coined by Tim O’Reilly.,,,,,,,,,,,,,,,,,,,
Question 598,8. A _____ is the combination of data from two or more sources that creates a unique service.,a) dev,b)mashup,c) ajax,d) all of the mentioned,b,Explanation: The layers added to Google maps are examples of mashups.,,,,,,,,,,,,,,,,,,,
Question 599,9. Which of the following correctly describes group of technologies that leverage HTML and CSS for styling?,a) DOM,b) AJAX,c) SAS,d) All of the mentioned,b,Explanation: AJAX is a set of development tools that allow for client input into Web applications.,,,,,,,,,,,,,,,,,,,
Question 600,10. AJAX uses _________ for asynchronous communication between various data sources.,a) XSLT,b) XMLHttpRequest,c) DTD,d) None of the mentioned,b,Explanation: AJAX stands for Asynchronous JavaScipt and XML.,,,,,,,,,,,,,,,,,,,
Question 601,1. The properties necessary to guarantee a reliable transaction in databases and other applications is referred to as:,a) BASE,b) ACID,c) ATOM,d) All of the mentioned,b,"Explanation: In computer science, ACID (Atomicity, Consistency, Isolation, Durability) is a set of properties that guarantee that database transactions are processed reliably.",,,,,,,,,,,,,,,,,,,
Question 602,2. Point out the wrong statement:,"a) In theory, any application can run either completely or partially in the cloud",b) The location of an application or service plays a fundamental role in how the application must be written,"c) An application or process that runs on a desktop or server is executed coherently, as a unit, under the control of an integrated program",d) None of the mentioned,d,"Explanation: An action triggers a program call, code executes, and a result is returned and may be acted upon.",,,,,,,,,,,,,,,,,,,
Question 603,3. Which of the following is property of ACID principle ?,a) Atomicity,b) Consistency,c) Isolation,d) All of the mentioned,d,Explanation: The ACID principle is used today by any application that is reading and writing to a stored data set.,,,,,,,,,,,,,,,,,,,
Question 604,4. Which of the following ACID property states that the system must go from one known state to another and that the system integrity must be maintained ?,a) Atomicity,b) Consistency,c) Isolation,d) Durability,b,Explanation: The ACID rules were developed by Jim Gray to apply to database technology in the late 1970s.,,,,,,,,,,,,,,,,,,,
Question 605,5. Point out the wrong statement:,"a) Taken as a unit, “Request => Process => Response” is not an atomic transaction","b) A coherent transaction either succeeds and is enacted, or fails and is rolled back","c) When rollback is not possible due to optimistic transaction commitment in a multiuser application, durability requires correcting the condition",d) None of the mentioned,a,"Explanation: Taken as a unit, “Request => Process => Response” is an atomic transaction.",,,,,,,,,,,,,,,,,,,
Question 606,6. Which of the following component is required for both online and local data access in hybrid application ?,a) local,b) cloud,c) both local and cloud,d) none of the mentioned,c,"Explanation: If the application needed to access data only when the client was online, then access to cloud-based storage would be the only data store your application would required.",,,,,,,,,,,,,,,,,,,
Question 607,7. Which of the following factors might offset the cost of offline access in hybrid application ?,a) scalability,b) costs,c) ubiquitous access,d) all of the mentioned,d,Explanation: These factors make the cloud more attractive.,,,,,,,,,,,,,,,,,,,
Question 608,8. An application that needed _______ storage alone might not benefit from a cloud deployment at all.,a) online,b) offline,c) virtual,d) all of the mentioned,b,Explanation: You could safely conclude that an application that gets the most value from a cloud deployment is one that uses online storage without the need for offline storage.,,,,,,,,,,,,,,,,,,,
Question 609,9. The __________ property states that the system must have a mechanism to recover from committed transactions should that be necessary.,a) Atomicity,b) Consistency,c) Isolation,d) Durability,d,Explanation: The isolation property states that the system cannot have other transactions operate on data that is currently being processed by a transaction.,,,,,,,,,,,,,,,,,,,
Question 610,10. Which of the following property defines a transaction as something that cannot be subdivided and must be completed or abandoned as a unit ?,a) Atomicity,b) Consistency,c) Isolation,d) Durability,a,Explanation: The isolation property states that the system cannot have other transactions operate on data that is currently being processed by a transaction.,,,,,,,,,,,,,,,,,,,
Question 611,1. Which of the following is best suited for analysis of an application’s suitability to be ported to the cloud ?,a) Service Attributes,b) Cloud Attributes,c) Application Attributes,d) All of the mentioned,c,"Explanation: To support the application’s data access, you may also be faced with building a synchronization or replication feature, which adds more",,,,,,,,,,,,,,,,,,,
Question 612,,,,,,,,,,,,,,,,,,,,,,,,,,
Question 613,,,,,,,,,,,,,,,,,,,,,,,,,,
Question 614,,,,,,,advertisement,,,,,,,,,,,,,,,,,,,
Question 615,,,,,,,,,,,,,,,,,,,,,,,,,,
Question 616,,,,,,,,,,,,,,,,,,,,,,,,,,
Question 617,,,,,,,,,,,,,,,,,,,,,,,,,,
Question 618,,,,,,,    freestar.queue.push(function () { googletag.display('SanFoundry_300x250_320x50_320x100_inlist1'); });,,,,,,,,,,,,,,,,,,,
Question 619,,,,,,,,,,,,,,,,,,,,,,,,,,
Question 620,,,,,,,,,,,,,,,,,,,,,,,,,,
Question 621,,,,,,,,,,,,,,,,,,,,,,,,,,
Question 622,,,,,,,overhead to the application.,,,,,,,,,,,,,,,,,,,
Question 623,2. Point out the correct statement:,a) An application that runs as a service on the Internet has a client portion that makes a request and a server portion that responds to that request,"b) In a distributed system, the transaction is stateful","c) In order to create a stateless system in a distributed architecture, a transaction manager or broker must be added so that the intermediary service can account for transactions and react accordingly when they succeed or fail",d) None of the mentioned,a,Explanation: The request has been decoupled from the response because the transaction is executing in two or more places.,,,,,,,,,,,,,,,,,,,
Question 624,3. Which of the following is first level applicable attribute ?,a) Availability,b) Monitoring,c) Configuring,d) All of the mentioned,a,Explanation: Availability defines the proportion of time that the system is functional and working.,,,,,,,,,,,,,,,,,,,
Question 625,4. Which of the following is a second level attribute in relation to scalability ?,a) Fault management,b) Caching,c) Expertise,d) Geographic location,c,"Explanation: Scalability is the ability of a system, network, or process to handle a growing amount of work in a capable manner or its ability to be enlarged to accommodate that growth.",,,,,,,,,,,,,,,,,,,
Question 626,5. Point out the wrong statement:,"a) When applications get moved to the cloud, they do not retain the features of a three-layered architecture",b) Virtual machines are not only stateless,"c) Some applications can be successfully ported to the cloud, while others suffer from the translation",d) None of the mentioned,c,"Explanation: When applications get moved to the cloud, they retain the features of a three-layered architecture.",,,,,,,,,,,,,,,,,,,
Question 627,6. Which of the following is not a second level attribute in relation to Data Management ?,a) Data exchange,b) Staging,c) Index,d) Portability,b,Explanation: Staging is second level attribute in relation to scalability.,,,,,,,,,,,,,,,,,,,
Question 628,7. Which of the following criteria needs to be met so that key drivers benefit from deployment to the cloud ?,a) Are mission critical,b) Do have sensitive data to protect,c) Do need to be customized,d) Are legacy applications with no particular competitive advantage,d,Explanation: Each cloud platform also has its own set of attributes that need to be mapped.,,,,,,,,,,,,,,,,,,,
Question 629,8. APIs and Deployment are second level application attributes in accordance with :,a) application,b) costs,c) maintenance,d) user interface,c,Explanation: Deconstructing an application’s critical functionality is only half the process.,,,,,,,,,,,,,,,,,,,
Question 630,9. Which of the attributes is required for best user interface ?,a) User interaction,b) Ease of use,c) Interface features,d) All of the mentioned,d,Explanation: An attribute map is created to expose critical functionality.,,,,,,,,,,,,,,,,,,,
Question 631,10. Which of the following is not a second level application attribute ?,a) Reliability,b) Resource access,c) Uptime,d) costs,d,Explanation: Cost is influenced by development and resources attribute.,,,,,,,,,,,,,,,,,,,
Question 632,1. Which of the following is a key cloud service attribute ?,a) Abstraction,b) Infrastructure,c) User Interface,d) All of the mentioned,b,"Explanation: Each provider has a unique solution, uses its own APIs, and provides unique services.",,,,,,,,,,,,,,,,,,,
Question 633,2. Point out the correct statement:,a) The cloud turns physical systems into virtual systems,b) The printing service decided to eliminate infrastructure and streamline the process,c) The first stage in the redeployment is to eliminate the local processing associated with the scanning machines,d) None of the mentioned,a,Explanation: Organizations choose to deploy systems to the cloud entirely when they can recreate the essential part of their process and eliminate infrastructure.,,,,,,,,,,,,,,,,,,,
Question 634,3. Which of the following is first level cloud service attribute ?,a) Accounting,b) Application support,c) Core Services,d) All of the mentioned,c,Explanation: Accounting is second level attribute in accordance with Core services.,,,,,,,,,,,,,,,,,,,
Question 635,4. Which of the following is a second level cloud attribute in relation to Platform Features ?,a) Development environment,b) Programming language support,c) Deployment technology,d) All of the mentioned,d,Explanation: Testing and application attribute is also considered second level cloud attribute for platform features.,,,,,,,,,,,,,,,,,,,
Question 636,5. Point out the correct statement:,a) Virtual machines are not provisioned to process the scans,b) Virtual machines are only stateless,"c) Infrastructure, storage, and the queuing system all come together to eliminate a great deal of cost and operational complexity",d) None of the mentioned,c,Explanation: This is a pure cloud play.,,,,,,,,,,,,,,,,,,,
Question 637,6. Which of the following is not a second level cloud attribute in relation to Storage ?,a) Non-relational,b) SQL support,c) Replication,d) Language and locale,d,Explanation: Language and locale attribute is second level attribute in relation to platform feature.,,,,,,,,,,,,,,,,,,,
Question 638,7. Which of the following scenario can be referred to as cloud bursting ?,"a) Part of the application is on a local system, and part is in the cloud",b) Complete part of the application is on local system,c) Complete part of the application is on local system,d) None of the mentioned,a,Explanation: Each cloud platform also has its own set of attributes that need to be mapped.,,,,,,,,,,,,,,,,,,,
Question 639,8. Which of the following is not a first level cloud service attribute ?,a) Applications,b) Infrastructure,c) Core Services,d) None of the mentioned,d,Explanation: These are key features for any cloud applications.,,,,,,,,,,,,,,,,,,,
Question 640,9. An application that provides for transaction overflow in a reservation system is an example of:,a) cloud servicing,b) cloud bursting,c) cloud provisioning,d) all of the mentioned,b,Explanation: Most systems built to perform cloud bursting have a simple underlying design.,,,,,,,,,,,,,,,,,,,
Question 641,10. Which of the following is not a second level cloud attribute ?,a) Applications,b) Infrastructure,c) Database,d) Storage,c,Explanation: Database is second level cloud attribute for Application.,,,,,,,,,,,,,,,,,,,
Question 642,1. Which of the following mechanisms are contained by Cloud API for accessing cloud services?,a) Abstraction,b) Authentication,c) Replication,d) All of the mentioned,b,Explanation: The cloud API contains the authentication and authorization mechanisms needed to access cloud services.,,,,,,,,,,,,,,,,,,,
Question 643,2. Point out the correct statement:,a) The nature of a cloud provider’s Cloud API will impact the ability to move an application to the cloud,b) Cloud APIs are the Application Programming Interface to functions that exchange information in and with the cloud,c) Each cloud vendor has its own specific API,d) All of the mentioned,d,Explanation: The nature of a cloud provider also affects the way many of your application features operate.,,,,,,,,,,,,,,,,,,,
Question 644,3. Which of the following is cross-platform API based on generalizing the major cloud vendors APIs?,a) Deltacloud,b) Simple Cloud API,c) Design Cloud,d) All of the mentioned,d,Explanation: Efforts are underway to create more standardized cloud APIs.,,,,,,,,,,,,,,,,,,,
Question 645,4. Applications using managed cloud storage are __________ as a Service Web service.,a) Infrastructure,b) Platform,c) Service,d) All of the mentioned,a,"Explanation: In an IaaS model, a third-party provider hosts hardware, software, servers, storage and other infrastructure components on behalf of its users.",,,,,,,,,,,,,,,,,,,
Question 646,5. Point out the wrong statement:,a) Some APIs are both exposed as SOAP and REST,b) Most APIs are exposed as SOAP,c) Few APIs are exposed as REST,d) None of the mentioned,d,Explanation: Each API provides specific calls required by that vendor’s infrastructure and service.,,,,,,,,,,,,,,,,,,,
Question 647,6. Which of the following presents developer with their own APIs?,a) VMWare vCloud,b) Racksapce Cloud Servers,c) RimuHosting,d) Racksapce Cloud Servers,d,"Explanation: Individual services such as Windows Azure SQL, Flickr, and Google Maps present a service cloud API.",,,,,,,,,,,,,,,,,,,
Question 648,7. Which of the following storage is presented to a user as if it is a ready-to-use disk drive?,a) Managed,b) Unmanaged,c) Unavailable,d) None of the mentioned,b,Explanation: The user has little control over the nature of how the disk is used.,,,,,,,,,,,,,,,,,,,
Question 649,8. Which of the following cloud storage involves the provisioning of raw virtualized disk ?,a) Managed,b) Unmanaged,c) Unavailable,d) All of the mentioned,a,Explanation: Cloud storage can be either unmanaged or managed.,,,,,,,,,,,,,,,,,,,
Question 650,9. Which of the following storage option is available for managed storage?,a) formatting,b) partitioning,c) replicating data,d) all of the mentioned,d,Explanation: Applications using unmanaged cloud storage are Software as a Service (SaaS) Web services.,,,,,,,,,,,,,,,,,,,
Question 651,10. Which of the following cloud storage is consumed by file sharing software?,a) Managed,b) Unmanaged,c) UnAvailable,d) All of the mentioned,b,Explanation: Most user-oriented software such as file-sharing and backup consume unmanaged cloud storage.,,,,,,,,,,,,,,,,,,,
Question 652,1. Which of the following is storage data interchange interface for stored data objects ?,a) OCC,b) OCCI,c) OCMI,d) All of the mentioned,b,Explanation: OCCI stands for Open Cloud Computing Interface.,,,,,,,,,,,,,,,,,,,
Question 653,2. Point out the correct statement:,"a) To determine whether your application will port successfully, you should perform a functionality mapping exercise",b) Cloud computing supports some application features better than others,c) Cloud bursting is an overflow solution that clones the application to the cloud and directs traffic to the cloud during times of high traffic,d) All of the mentioned,d,Explanation: Mapping process involves determining the critical application features and then matching them to the cloud provider’s offering to see if those features can be supported.,,,,,,,,,,,,,,,,,,,
Question 654,3. ________ data represents more than 50 percent of the data created every day.,a) Shadow,b) Light,c) Dark,d) All of the mentioned,a,"Explanation: Lots of shadow data does get retained, having never been touched by a human being.",,,,,,,,,,,,,,,,,,,
Question 655,4. Cloud storage data usage in the year 2020 is estimated to be ___ percent resident by IDC.,a) 10,b) 15,c) 20,d) None of the mentioned,d,Explanation: There will be a steady growth of cloud storage at the expense of online storage over the next decade.,,,,,,,,,,,,,,,,,,,
Question 656,5. Point out the wrong statement:,a) Some APIs are both exposed as SOAP and REST,b) The role of a cloud vendor specific API has impact on porting an application,c) There are mainly three types of cloud storage,d) None of the mentioned,c,Explanation: Cloud storage can be either unmanaged or managed.,,,,,,,,,,,,,,,,,,,
Question 657,6. Which of the following system does not provision storage to most users ?,a) PaaS,b) IaaS,c) CaaS,d) SaaS,b,Explanation: Cloud storage is storage accessed by a Web service API.,,,,,,,,,,,,,,,,,,,
Question 658,7. The addition of a software package on top of a cloud storage volume makes most cloud storage offerings conform to a ________ as a Service model.,a) Software,b) Platform,c) Analytics,d) None of the mentioned,a,"Explanation: Most users interact with cloud storage using backup, synchronization, archiving, staging, caching, or some other sort of software.",,,,,,,,,,,,,,,,,,,
Question 659,8. How many categories of storage devices broadly exist in cloud ?,a) 1,b) 2,c) 3,d) None of the mentioned,b,Explanation: Storage devices may be broadly categorized as either block storage devices or file storage devices.,,,,,,,,,,,,,,,,,,,
