Question,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 576,2. How is Fuzzy Logic different from conventional control methods?,a) IF and THEN Approach,b) FOR Approach,c) WHILE Approach,d) DO Approach,a,"Explanation: FL incorporates a simple, rule-based IF X AND Y THEN Z approach to a solving control problem rather than attempting to model a system mathematically. "
Question 577,3. In an Unsupervised learning,a) Specific output values are given,b) Specific output values are not given,c) No specific Inputs are given,d) Both inputs and outputs are given,b,"Explanation: The problem of unsupervised learning involves learning patterns in the input when no specific output values are supplied. We cannot expect the specific output to test your result. Here the agent does not know what to do, as he is not aware of the fact what propose system will come out. We can say an ambiguous un-proposed situation. "
Question 578,4. Inductive learning involves finding a,a) Consistent Hypothesis,b) Inconsistent Hypothesis,c) Regular Hypothesis,d) Irregular Hypothesis,a,Explanation: Inductive learning involves finding a consistent hypothesis that agrees with examples. The difficulty of the task depends on the chosen representation. 
Question 579,5. Computational learning theory analyzes the sample complexity and computational complexity of,a) Unsupervised Learning,b) Inductive learning,c) Forced based learning,d) Weak learning,b,Explanation: Computational learning theory analyzes the sample complexity and computational complexity of inductive learning. There is a tradeoff between the expressiveness of the hypothesis language and the ease of learning. 
Question 580,"6. If a hypothesis says it should be positive, but in fact, it is negative, we call it",a) A consistent hypothesis,b) A false negative hypothesis,c) A false positive hypothesis,d) A specialized hypothesis,c,"Explanation: Consistent hypothesis go with examples, If the hypothesis says it should be negative but infect it is positive, it is false negative. If a hypothesis says it should be positive, but in fact, it is negative, it is false positive. In a specialized hypothesis we need to have certain restrict or special conditions. "
Question 581,7. Neural Networks are complex ______________with many parameters.,a) Linear Functions,b) Nonlinear Functions,c) Discrete Functions,d) Exponential Functions,b,"Explanation: Neural networks parameters can be learned from noisy data and they have been used for thousands of applications, so it varies from problem to problem and thus use nonlinear functions. "
Question 582,8. A perceptron is a ______________,a) Feed-forward neural network,b) Backpropagation algorithm,c) Backtracking algorithm,d) Feed Forward-backward algorithm,a,"Explanation: A perceptron is a Feed-forward neural network with no hidden units that can be representing only linear separable functions. If the data are linearly separable, a simple weight updated rule can be used to fit the data exactly. "
Question 583,9. Which of the following statement is true?,a) Not all formal languages are context-free,b) All formal languages are Context free,c) All formal languages are like natural language,d) Natural languages are context-oriented free,a,Explanation: Not all formal languages are context-free. 
Question 584,10. Which of the following statement is not true?,a) The union and concatenation of two context-free languages is context-free,"b) The reverse of a context-free language is context-free, but the complement need not be",c) Every regular language is context-free because it can be described by a regular grammar,d) The intersection two context-free languages is context-free,d,Explanation: The union and concatenation of two context-free languages is context-free; but intersection need not be. 
Question 585,"1. A 3-input neuron is trained to output a zero when the input is 110 and a one when the input is 111. After generalization, the output will be zero when and only when the input is:",a) 000 or 110 or 011 or 101,b) 010 or 100 or 110 or 101,c) 000 or 010 or 110 or 100,d) 100 or 111 or 101 or 001,c,"Explanation: The truth table before generalization is:Inputs	Output000	$001	$010	$011	$100	$101	$110	0111	1where $ represents don’t know cases and the output is random.After generalization, the truth table becomes:Inputs	Output000	0001	1010	0011	1100	0101	1110	0111	1."
Question 586,2. A perceptron is:,a) a single layer feed-forward neural network with pre-processing,b) an auto-associative neural network,c) a double layer auto-associative neural network,d) a neural network that contains feedback,a,Explanation: The perceptron is a single layer feed-forward neural network. It is not an auto-associative network because it has no feedback and is not a multiple layer neural network because the pre-processing stage is not made of neurons. 
Question 587,3. An auto-associative network is:,a) a neural network that contains no loops,b) a neural network that contains feedback,c) a neural network that has only one loop,d) a single layer feed-forward neural network with pre-processing,b,Explanation: An auto-associative network is equivalent to a neural network that contains feedback. The number of feedback paths(loops) does not have to be one. 
Question 588,"4. A 4-input neuron has weights 1, 2, 3 and 4. The transfer function is linear with the constant of proportionality being equal to 2. The inputs are 4, 10, 5 and 20 respectively. The output will be:",a) 238,b) 76,c) 119,d) 123,a,"Explanation: The output is found by multiplying the weights with their respective inputs, summing the results and multiplying with the transfer function. Therefore:Output = 2 * (1*4 + 2*10 + 3*5 + 4*20) = 238. "
Question 589,5. Which of the following is true?,"(i) On average, neural networks have higher computational rates than conventional computers.",(ii) Neural networks learn by example.,(iii) Neural networks mimic the way the human brain works.,a) All of the mentioned are true,a,"Explanation: Neural networks have higher computational rates than conventional computers because a lot of the operation is done in parallel. That is not the case when the neural network is simulated on a computer. The idea behind neural nets is based on the way the human brain works. Neural nets cannot be programmed, they can only learn by examples. "
Question 590,6. Which of the following is true for neural networks?,(i) The training time depends on the size of the network.,(ii) Neural networks can be simulated on a conventional computer.,(iii) Artificial neurons are identical in operation to biological ones.,a) All of the mentioned,c,Explanation: The training time depends on the size of the network; the number of neuron is greater and therefore the number of possible ‘states’ is increased. Neural networks can be simulated on a conventional computer but the main advantage of neural networks – parallel execution – is lost. Artificial neurons are not identical in operation to the biological ones. 
Question 591,7. What are the advantages of neural networks over conventional computers?,(i) They have the ability to learn by example,(ii) They are more fault tolerant,(iii)They are more suited for real time operation due to their high ‘computational’ rates,a) (i) and (ii) are true,d,"Explanation: Neural networks learn by example. They are more fault tolerant because they are always able to respond and small changes in input do not normally cause a change in output. Because of their parallel architecture, high computational rates are achieved.  "
Question 592,8. Which of the following is true?,Single layer associative neural networks do not have the ability to:,(i) perform pattern recognition,(ii) find the parity of a picture,(iii)determine whether two or more shapes in a picture are connected or not,a,Explanation: Pattern recognition is what single layer neural networks are best at but they don’t have the ability to find the parity of a picture or to determine whether two shapes are connected or not. 
Question 593,9. Which is true for neural networks?,a) It has set of nodes and connections,b) Each node computes it’s weighted input,c) Node could be in excited state or non-excited state,d) All of the mentioned,d,Explanation: All mentioned are the characteristics of neural network. 
Question 594,10. Neuro software is:,a) A software used to analyze neurons,b) It is powerful and easy neural network,c) Designed to aid experts in real world,d) It is software used by Neurosurgeon,b,Explanation: None. 
Question 595,1. Why is the XOR problem exceptionally interesting to neural network researchers?,a) Because it can be expressed in a way that allows you to use a neural network,b) Because it is complex binary operation that cannot be solved using neural networks,c) Because it can be solved by a single layer perceptron,d) Because it  is the simplest linearly inseparable problem that exists.,d,Explanation: None. 
Question 596,2. What is back propagation?,a) It is another name given to the curvy function in the perceptron,b) It is the transmission of error back through the network to adjust the inputs,c) It is the transmission of error back through the network to allow weights to be adjusted so that the network can learn,d) None of the mentioned,c,Explanation: Back propagation is the transmission of error back through the network to allow weights to be adjusted so that the network can learn. 
Question 597,3. Why are linearly separable problems of interest of neural network researchers?,a) Because they are the only class of problem that network can solve successfully,b) Because they are the only class of problem that Perceptron can solve successfully,c) Because they are the only mathematical functions that are continue,d) Because they are the only mathematical functions you can draw,b,Explanation: Linearly separable problems of interest of neural network researchers because they are the only class of problem that Perceptron can solve successfully. 
Question 598,4. Which of the following is not the promise of artificial neural network?,a) It can explain result,b) It can survive the failure of some nodes,c) It has inherent parallelism,d) It can handle noise,a,Explanation: The artificial Neural Network (ANN) cannot explain result. 
Question 599,5. Neural Networks are complex ______________ with many parameters.,a) Linear Functions,b) Nonlinear Functions,c) Discrete Functions,d) Exponential Functions,a,Explanation: Neural networks are complex linear functions with many parameters.
Question 600,"6. A perceptron adds up all the weighted inputs it receives, and if it exceeds a certain value, it outputs a 1, otherwise it just outputs a 0.",a) True,b) False,c) Sometimes – it can also output intermediate values as well,d) Can’t say,a,Explanation: Yes the perceptron works like that. 
Question 601,7. The name for the function in question 16 is,a) Step function,b) Heaviside function,c) Logistic function,d) Perceptron function,b,"Explanation: Also known as the step function – so answer 1 is also right. It is a hard thresholding function, either on or off with no in-between. "
Question 602,"8. Having multiple perceptrons can actually solve the XOR problem satisfactorily: this is because each perceptron can partition off a linear part of the space itself, and they can then combine their results","a) True – this works always, and these multiple perceptrons learn to classify even complex problems","b) False – perceptrons are mathematically incapable of solving linearly inseparable functions, no matter what you do",c) True – perceptrons can do this but are unable to learn to do it – they have to be explicitly hand-coded,d) False – just having a single perceptron is enough,c,Explanation: None. 
Question 603,9. The network that involves backward links from output to the input and hidden layers is called as ____,a) Self organizing maps,b) Perceptrons,c) Recurrent neural network,d) Multi layered perceptron,c,Explanation: RNN (Recurrent neural network) topology involves backward links from output to the input and hidden layers. 
Question 604,10. Which of the following is an application of NN (Neural Network)?,a) Sales forecasting,b) Data validation,c) Risk management,d) All of the mentioned,d,Explanation: All mentioned options are applications of Neural Network. 
Question 605,"1. A _________ is a decision support tool that uses a tree-like graph or model of decisions and their possible consequences, including chance event outcomes, resource costs, and utility.",a) Decision tree,b) Graphs,c) Trees,d) Neural Networks,a,Explanation: Refer the definition of Decision tree. 
Question 606,"2. Decision Tree is a display of an algorithm.a) Trueb) FalseView Answer",,,,,a,Explanation: None. 
Question 607,3. Decision Tree is,a) Flow-Chart,"b) Structure in which internal node represents test on an attribute, each branch represents outcome of test and each leaf node represents class label","c) Flow-Chart & Structure in which internal node represents test on an attribute, each branch represents outcome of test and each leaf node represents class label",d) None of the mentioned,c,Explanation: Refer the definition of Decision tree. 
Question 608,"4. Decision Trees can be used for Classification Tasks.a) Trueb) FalseView Answer",,,,,a,Explanation: None. 
Question 609,5. Choose from the following that are Decision Tree nodes,a) Decision Nodes,b) End Nodes,c) Chance Nodes,d) All of the mentioned,d, Explanation: None.
Question 610,6. Decision Nodes are represented by ____________,a) Disks,b) Squares,c) Circles,d) Triangles,b,Explanation: None.
Question 611,"7. Chance Nodes are represented by,",a) Disks,b) Squares,c) Circles,d) Triangles,c,Explanation: None.
Question 612,8. End Nodes are represented by __________,a) Disks,b) Squares,c) Circles,d) Triangles,d,Explanation: None.
Question 613,9. Following are the advantage/s of Decision Trees. Choose that apply.,a) Possible Scenarios can be added,"b) Use a white box model, If given result is provided by a model","c) Worst, best and expected values can be determined for different scenarios",d) All of the mentioned,d,Explanation: None. 
Question 614,1. Which combines inductive methods with the power of first-order representations?,a) Inductive programming,b) Logic programming,c) Inductive logic programming,d) Lisp programming,c,"Explanation: Inductive logic programming(ILP) combines inductive methods with the power of first-order representations."
Question 615,2. How many reasons are available for the popularity of ILP?,a) 1,b) 2,c) 3,d) 4,c,"Explanation: The three reasons available for the popularity of ILP are general knowledge, Complete algorithm and hypotheses."
Question 616,3. Which cannot be represented by a set of attributes?,a) Program,b) Three-dimensional configuration of a protein molecule,c) Agents,d) None of the mentioned,b,"Explanation: Because the configuration inherently refers to relationships between objects."
Question 617,4. Which is an appropriate language for describing the relationships?,a) First-order logic,b) Propositional logic,c) ILP,d) None of the mentioned,a,"Explanation: None."
Question 618,5. Which produces hypotheses that are easy to read for humans?,a) ILP,b) Artificial intelligence,c) Propositional logic,d) First-order logic,a,"Explanation: Because ILP can participate in the scientific cycle of experimentation, So that it can produce flexible structure."
Question 619,6. What need to be satisfied in inductive logic programming?,a) Constraint,b) Entailment constraint,c) Both Constraint & Entailment constraint,d) None of the mentioned,b,"Explanation: The objective of an ILP is to come up with a set of sentences for the hypothesis such that the entailment constraint is satisfied."
Question 620,7. How many literals are available in top-down inductive learning methods?,a) 1,b) 2,c) 3,d) 4,c,"Explanation: The three literals are available in top-down inductive learning methods are predicates, equality and inequality and arithmetic literals."
Question 621,8. Which inverts a complete resolution strategy?,a) Inverse resolution,b) Resolution,c) Trilogy,d) None of the mentioned,a,"Explanation: Because it is a complete algorithm for learning first-order theories."
Question 622,9. Which method can’t be used for expressing relational knowledge?,a) Literal system,b) Variable-based system,c) Attribute-based system,d) None of the mentioned,c,"Explanation: ILP methods can learn relational knowledge that is not expressible in attribute-based system."
Question 623,10. Which approach is used for refining a very general rule through ILP?,a) Top-down approach,b) Bottom-up approach,c) Both Top-down & Bottom-up approach,d) None of the mentioned,a,"Explanation: None."
Question 624,1. What is the intentional exchange of information brought about by production and perception?,a) Hearing,b) Communication,c) Speech,d) None of the mentioned,b,"Explanation: Communication is the intentional exchange of information brought about by production and perception of signs drawn from a shared system."
Question 625,2. What is the complex system of structured message?,a) Languages,b) Words,c) Signs,d) Speech,a,"Explanation: Language is the complex system of structured message that enables us to communicate."
Question 626,3. How many things are present in conventional communication signs?,a) 3,b) 4,c) 5,d) 6,c,"Explanation: The five things present in the conventional communication system are query, inform, request, acknowledge and promise."
Question 627,4. What is defined by set of strings?,a) Signs,b) Formal language,c) Communication,d) None of the mentioned,b,"Explanation: A formal language is defined by set of strings that is a concatenation of terminal symbols."
Question 628,5. What is a finite set of rules that specifies a language?,a) Signs,b) Communication,c) Grammer,d) Phrase,c,"Explanation: None."
Question 629,6. What kind of perception is used in printing?,a) Optical character recognition,b) Speech recognition,c) Perception,d) None of the mentioned,a,"Explanation: When perception is used in printing means, It is called as optical character recognition."
Question 630,7. Why the parsing is used?,a) Interpretation,b) Building a parse tree,c) Recognition,d) All of the mentioned,b,"Explanation: Parsing is the process of building a parse tree for an input string."
Question 631,8. How many objects are available in closed classes?,a) 1,b) 2,c) 3,d) 4,d,"Explanation: The four objects are available in closed classes are pronoun, article, preposition and conjunction."
Question 632,9. How many states are present in parsing?,a) 1,b) 2,c) 3,d) 4,c,"Explanation: The three state available in parsing are initial state, successor function and goal test."
Question 633,10. Pick out the correct option about the types of parsing.,a) Top-down and bottom-up parsing,b) Interpretation and communication,c) Roll-up and roll-down,d) None of the mentioned,a,"Explanation: The two types of parsing are top-down parsing and bottom-up parsing."
Question 634,11. Semantic grammars:,a) Encode semantic information into a syntactic grammar,b) Decode semantic information into a syntactic grammar,c) Encode syntactic information into a semantic grammar,d) Decode syntactic information into a semantic grammar,a,Explanation: Semantic grammars encode semantic information into a syntactic grammar. 
Question 635,12. What is a top-down parser?,a) Begins by hypothesizing a sentence (the symbol S) and successively predicting lower level constituents until individual pre-terminal symbols are written,b) Begins by hypothesizing a sentence (the symbol S) and successively predicting upper level constituents until individual pre-terminal symbols are written,c) Begins by hypothesizing lower level constituents and successively predicting a sentence (the symbol S),d) Begins by hypothesizing upper level constituents and successively predicting a sentence (the symbol S),a,Explanation: A top-down parser begins by hypothesizing a sentence (the symbol S) and successively predicting lower level constituents until individual pre-terminal symbols are written. 
Question 636,13. Perception involves,"a) Sights, sounds, smell and touch",b) Hitting,c) Boxing,d) Dancing,a,"Explanation: Perception involves Sights, sounds, smell and touch. "
Question 637,1. The process by which you become aware of messages through your sense is called,a) Organization,b) Sensation,c) Interpretation-Evaluation,d) Perception,d,Explanation: None. 
Question 638,2. Susan is so beautiful; I bet she is smart too. This is an example of,a) The halo effect,b) The primary effect,c) A self-fulfilling prophecy,d) The recency effect,a,Explanation: None. 
Question 639,3. _____ prevents you from seeing an individual as an individual rather than as a member of a group.,a) Cultural mores,b) Stereotypes,c) Schematas,d) Attributions,c,Explanation: None. 
Question 640,"4. When you get fired from your job and you determine it is because your boss dislikes you, you are most likely exhibiting",a) Self-promotion,b) Fundamental attribution error,c) Over-attribution,d) Self-serving bias,d,Explanation: None. 
Question 641,5. Mindless processing is,"a) careful, critical thinking",b) inaccurate and faulty processing,c) information processing that relies heavily on familiar schemata,d) processing that focuses on unusual or novel events,c,Explanation: None. 
Question 642,6. Selective retention occurs when,"a) we process, store, and retrieve information that we have already selected, organized, and interpreted",b) we make choices to experience particular stimuli,c) we make choices to avoid particular stimuli,d) we focus on specific stimuli while ignoring other stimuli,a,Explanation: None. 
Question 643,7. Which of the following strategies would NOT be effective at improving your communication competence?,"a) Recognize the people, objects, and situations remain stable over time",b) Recognize that each person’s frame of perception is unique,c) Be active in perceiving,d) Distinguish facts from inference,a,Explanation: None. 
Question 644,"8. _____________  is measured by the number of mental structures we use, how abstract they are, and how elaborate they interact to shape our perceptions.",a) intrapersonal structure,b) perceptual set,c) self-justification,d) none of the mentioned,d,Explanation: None. 
Question 645,9. A perception check is,a) a cognitive bias that makes us listen only to information we already agree with,b) a method teachers use to reward good listeners in the classroom,c) any factor that gets in the way of good listening and decreases our ability to interpret correctly,d) a response that allows you to state your interpretation and ask your partner whether or not that interpretation is correct,d,Explanation: None. 
Question 646,1. What is the dominant modality for communication between humans?,a) Hear,b) Speech,c) Smell,d) None of the mentioned,b,"Explanation: Speech is the dominant modality for communication between humans and reliable speech recognition between machines."
Question 647,2. What kind of signal is used in speech recognition?,a) Electromagnetic signal,b) Electric signal,c) Acoustic signal,d) Radar,c,"Explanation: Acoustic signal is used to identify a sequence of words uttered by a speaker."
Question 648,3. What is viewed as problem of probabilistic inference?,a) Speech recognition,b) Speaking,c) Hearing,d) Utterance,a,"Explanation: Speech recognition is viewed as problem of probabilistic inference because different words can sound the same."
Question 649,4. Which specifies the prior probability of each utterance?,a) Sound model,b) Model,c) Language model,d) All of the mentioned,c,"Explanation: Because it contains the group of words which can help to specify the prior probability of each utterance."
Question 650,5. Which model gives the probability of each word following each other word?,a) Bigram model,b) Diagram model,c) Gram model,d) Speech model,a,"Explanation: Bigram model gives the probability of each word following each other word in speech recognition."
Question 651,6. What is the study of how the language sounds?,a) Speechology,b) Biology,c) Trilogy,d) Phonology,d,"Explanation: None."
Question 652,7. What are periodic changes in pressure that propagate through the air?,a) Air waves,b) Sound waves,c) Rate,d) None of the mentioned,b,"Explanation: Sound waves are periodic changes in pressure that propagate through the air and it can be measured by a microphone."
Question 653,8. What is called as the properties of the signal that extend over interval?,a) Hops,b) Rate,c) Frames,d) All of the mentioned,c,"Explanation: Speech system summarize the properties of the signal that extend over interval called frames."
Question 654,9. Which is used to capture the internal structure of the phones?,a) One-state phone model,b) Two-state phone model,c) Three-state phone mone,d) All of the mentioned,c,"Explanation: None."
Question 655,10. Which are partially captured by triphone model?,a) Articulation effects,b) Coarticulation effects,c) Both Articulation & Coarticulation effects,d) None of the mentioned,b,"Explanation: Coarticulation effects are partially captured by triphone model, which can be manipulated by acoustic model."
Question 656,1. Which provides agents with information about the world they inhabit?,a) Sense,b) Perception,c) Reading,d) Hearing,b,"Explanation: Perception provides agents with information about the world they inhabit."
Question 657,2. What is used to initiate the perception in the environment?,a) Sensor,b) Read,c) Actuators,d) None of the mentioned,a,"Explanation: A sensor is anything that can record some aspect of the environment."
Question 658,3. What is the study of light?,a) Biology,b) Lightology,c) Photometry,d) All of the mentioned,c,"Explanation: None."
Question 659,4. How to increase the brightness of the pixel?,a) Sound,b) Amount of light,c) Surface,d) Waves,b,"Explanation: The brightness of a pixel in the image is proportional to the amount of light directed towards the camera."
Question 660,5. How many kinds of reflection are available in image perception?,a) 1,b) 2,c) 3,d) 4,b,"Explanation: There are two kinds of reflection. They are specular and diffuse reflection."
Question 661,6. What is meant by predicting the value of a state variable from the past?,a) Specular reflection,b) Diffuse reflection,c) Gaussian filter,d) Smoothing,d,"Explanation: Smoothing meant predicting the value of a state variable from the past and by given evidence and calculating the present and future."
Question 662,7. How many types of image processing techniques are there in image perception?,a) 1,b) 2,c) 3,d) 4,c,"Explanation: The three image processing techniques are smoothing, edge detection and image segmentation."
Question 663,8. Which is meant by assuming any two neighboring that are both edge pixels with consistent orientation?,a) Canny edge detection,b) Smoothing,c) Segmentation,d) None of the mentioned,a,"Explanation: Canny edge detection is assuming any two neighboring that are both edge pixels with consistent orientation and ust belong to the same edge."
Question 664,9. What is the process of breaking an image into groups?,a) Edge detection,b) Smoothing,c) Segmentation,d) None of the mentioned,c,"Explanation: Segmentation is the process of breaking an image into groups, based on the similarities of the pixels."
Question 665,10. How many types of 3-D image processing techniques are there in image perception?,a) 3,b) 4,c) 5,d) 6,c,"Explanation: The five types of 3-D image processing techniques are motion, binocular stereopsis, texture, shading and contour."
Question 666,1. What is the name for information sent from robot sensors to robot controllers?,a) temperature,b) pressure,c) feedback,d) signal,c,"Explanation: None."
Question 667,2. Which of the following terms refers to the rotational motion of a robot arm?,a) swivel,b) axle,c) retrograde,d) roll,d,"Explanation: None."
Question 668,3. What is the name for the space inside which a robot unit operates?,a) environment,b) spatial base,c) work envelope,d) exclusion zone,c,"Explanation: None."
Question 669,4. Which of the following terms IS NOT one of the five basic parts of a robot?,a) peripheral tools,b) end effectors,c) controller,d) drive,a,"Explanation: None."
Question 670,5. Decision support programs are designed to help managers make:,a) budget projections,b) visual presentations,c) business decisions,d) vacation schedules,c,"Explanation: None."
Question 671,6. PROLOG is an AI programming language which solves problems with a form of symbolic logic known as predicate calculus. It was developed in 1972 at the University of Marseilles by a team of specialists. Can you name the person who headed this team?,a) Alain Colmerauer,b) Niklaus Wirth,c) Seymour Papert,d) John McCarthy,a,"Explanation: None."
Question 672,"7. The number of moveable joints in the base, the arm, and the end effectors of the robot determines_________",a) degrees of freedom,b) payload capacity,c) operational limits,d) flexibility,a,"Explanation: None."
Question 673,8. Which of the following places would be LEAST likely to include operational robots?,a) warehouse,b) factory,c) hospitals,d) private homes,d,"Explanation: None."
Question 674,"9. For a robot unit to be considered a functional industrial robot, typically, how many degrees of freedom would the robot have?",a) three,b) four,c) six,d) eight,c,"Explanation: None."
Question 675,10. Which of the basic parts of a robot unit would include the computer circuitry that could be programmed to determine what the robot would do?,a) sensor,b) controller,c) arm,d) end effector,b,Explanation: None. 
Question 676,1. Which of the following terms refers to the use of compressed gasses to drive (power) the robot device?,a) pneumatic,b) hydraulic,c) piezoelectric,d) photosensitive,a,"Explanation: None."
Question 677,"2. With regard to the physics of power systems used operate robots, which statement or statements is most correct?",a) hydraulics involves the compression of liquids,b) hydraulics involves the compression of air,c) pneumatics involve the compression of air,d) chemical batteries produce AC power,c,"Explanation: None."
Question 678,3. The original LISP machines produced by both LMI and Symbolics were based on research performed at:,a) CMU,b) MIT,c) Stanford University,d) RAMD,b,"Explanation: None."
Question 679,4. Which of the following statements concerning implementation of robotic systems is correct?,a) implementation of robots CAN save existing jobs,b) implementation of robots CAN create new jobs,c) robotics could prevent a business from closing,d) all of the mentioned,d,"Explanation: None."
Question 680,5. Which of the following IS NOT one of the advantages associated with a robotics implementation program?,a) Low costs for hardware and software,b) Robots work continuously around the clock,c) Quality of manufactured goods can be improved,d) Reduced company cost for worker fringe benefits,a,Explanation: None. 
Question 681,6. Which of the following “laws” is Asimov’s first and most important law of robotics?,a) robot actions must never result in damage to the robot,b) robots must never take actions harmful to humans,c) robots must follow the directions given by humans,d) robots must make business a greater profit,b,"Explanation: None."
Question 682,"7. In LISP, the function returns t if  is a CONS cell and nil otherwise:",a) (cons <object>),b) (consp <object>),c) (eq <object>),d) (cous = <object>),b,"Explanation: None."
Question 683,"8. In a rule-based system, procedural domain knowledge is in the form of:",a) production rules,b) rule interpreters,c) meta-rules,d) control rules,a,"Explanation: None."
Question 684,"9. If a robot can alter its own trajectory in response to external conditions, it is considered to be:",a) intelligent,b) mobile,c) open loop,d) non-servo,a,"Explanation: None."
Question 685,10. One of the leading American robotics centers is the Robotics Institute located at:,a) CMU,b) MIT,c) RAND,d) SRI,a,Explanation: None. 
Question 686,1. Natural Language Processing (NLP) is field of,a) Computer Science,b) Artificial Intelligence,c) Linguistics,d) All of the mentioned,d,Explanation: None. 
Question 687,"2. NLP is concerned with the interactions between computers and human (natural) languages.a) Trueb) FalseView Answer",,,,,a,Explanation: NLP has its focus on understanding the human spoken/written language and convert that interpretation into machine understandable language. 
Question 688,3. One of the main challenge/s of NLP Is _____________,a) Handling Ambiguity of Sentences,b) Handling Tokenization,c) Handling POS-Tagging,d) All of the mentioned,a,Explanation: There are enormous ambiguity exists when processing natural language. 
Question 689,"4. Modern NLP algorithms are based on machine learning, especially statistical machine learning.a) Trueb) FalseView Answer",,,,,a,Explanation: None. 
Question 690,5. Choose form the following areas where NLP can be useful.,a) Automatic Text Summarization,b) Automatic Question-Answering Systems,c) Information Retrieval,d) All of the mentioned,d,Explanation: None. 
Question 691,6. The major tasks of NLP includes,a) Automatic Summarization,b) Discourse Analysis,c) Machine Translation,d) All of the mentioned,d,Explanation: There is even bigger list of tasks of NLP. http://en.wikipedia.org/wiki/Natural_language_processing#Major_tasks_in_NLP . 
Question 692,7. Coreference Resolution is,a) Anaphora Resolution,"b) Given a sentence or larger chunk of text, determine which words (“mentions”) refer to the same objects (“entities”)",c) All of the mentioned,d) None of the mentioned,b,Explanation: Anaphora resolution is a specific type of coreference resolution. 
Question 693,8. Machine Translation,a) Converts one human language to another,b) Converts human language to machine language,c) Converts any human language to English,d) Converts Machine language to human language,a,Explanation: The best known example of machine translation is google translator. 
Question 694,"9. The more general task of coreference resolution also includes identifying so-called “bridging relationships” involving referring expressions.a) Trueb) FalseView Answer",,,,,a,Explanation: Refer the definition of Coreference Resolution. 
Question 695,10. Morphological Segmentation,a) Does Discourse Analysis,b) Separate words into individual morphemes and identify the class of the morphemes,c) Is an extension of propositional logic,d) None of the mentioned,b,Explanation: None. 
Question 696,"1. Given a stream of text, Named Entity Recognition determines which pronoun maps to which noun.a) Falseb) TrueView Answer",,,,,a,"Explanation: Given a stream of text, Named Entity Recognition determines which items in the text maps to proper names. "
Question 697,"2. Natural Language generation is the main task of Natural language processing.a) Trueb) FalseView Answer",,,,,a,Explanation: Natural Language Generation is to Convert information from computer databases into readable human language. 
Question 698,"3. OCR (Optical Character Recognition) uses NLP.a) Trueb) FalseView Answer",,,,,a,"Explanation: Given an image representing printed text, determines the corresponding text. "
Question 699,4. Parts-of-Speech tagging determines,a) part-of-speech for each word dynamically as per meaning of the sentence,b) part-of-speech for each word dynamically as per sentence structure,c) all part-of-speech for a specific word given as input,d) all of the mentioned,d,Explanation: A Bayesian network provides a complete description of the domain. 
Question 700,"5. Parsing determines Parse Trees (Grammatical Analysis) for a given sentence.a) Trueb) FalseView Answer",,,,,a,"Explanation: Determine the parse tree (grammatical analysis) of a given sentence. The grammar for natural languages is ambiguous and typical sentences have multiple possible analyses. In fact, perhaps surprisingly, for a typical sentence there may be thousands of potential parses (most of which will seem completely nonsensical to a human). "
Question 701,"6. IR (information Retrieval) and IE (Information Extraction) are the two same thing.a) Trueb) FalseView Answer",,,,,b,"Explanation: Information retrieval (IR)    This is concerned with storing, searching and retrieving information. It is a separate field within computer science (closer to databases), but IR relies on some NLP methods (for example, stemming). Some current research and applications seek to bridge the gap between IR and NLP.Information extraction (IE)    This is concerned in general with the extraction of semantic information from text. This covers tasks such as named entity recognition, Coreference resolution, relationship extraction, etc. "
Question 702,7. Many words have more than one meaning; we have to select the meaning which makes the most sense in context. This can be resolved by,a) Fuzzy Logic,b) Word Sense Disambiguation,c) Shallow Semantic Analysis,d) All of the mentioned,b,Explanation: Shallow Semantic Analysis doesn’t cover word sense disambiguation.
Question 703,"8. Given a sound clip of a person or people speaking, determine the textual representation of the speech.",a) Text-to-speech,b) Speech-to-text,c) All of the mentioned,d) None of the mentioned,b,Explanation: NLP is required to linguistic analysis.
Question 704,"9. Speech Segmentation is a subtask of Speech Recognition.a) Trueb) FalseView Answer",,,,,a,Explanation: None. 
Question 705,"10. In linguistic morphology, _____________ is the process for reducing inflected words to their root form.",a) Rooting,b) Stemming,c) Text-Proofing,d) Both Rooting & Stemming,b,Explanation: None. 
Question 706,"1. DEC advertises that it helped to create “the world’s first expert system routinely used in an industrial environment,” called XCON or:",a) PDP-11,b) Rl,c) VAX,d) MAGNOM,b,Explanation: None. 
Question 707,"2. Prior to the invention of time-sharing, the prevalent method of computer access was:",a) batch processing,b) telecommunication,c) remote access,d) all of the mentioned,a,Explanation: None. 
Question 708,3. Seymour Papert of the MIT AI lab created a programming environment for children called:,a) BASIC,b) LOGO,c) MYCIN,d) FORTRAN,b,Explanation: None. 
Question 709,4. The Strategic Computing Program is a project of the:,a) Defense Advanced Research Projects Agency,b) National Science Foundation,c) Jet Propulsion Laboratory,d) All of the mentioned,a,Explanation: None. 
Question 710,5. The original LISP machines produced by both LMI and Symbolics were based on research performed at:,a) CMU,b) MIT,c) Stanford University,d) RAMD,b,Explanation: None. 
Question 711,"6. In LISP, the addition 3 + 2 is entered as",a) 3 + 2,b) 3 add 2,c) 3 + 2 =,d) (+ 3 2),b,Explanation: None. 
