Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,
Question 489,A company that controls market by offering same products as of competitors considered as,diversification,vertical integration,horizontal integration,geographic expansion,C,No explanation,
Question 490,Level of trust reflects mentor's,professional competence,consistency,ability to communicate,all of above,D,No explanation,
Question 491,Observing CV's of candidates for rating by order considered as,candidate order error,candidate contrast error,both A and B,none of above,C,No explanation,
Question 492,Cash and stock bonuses for achieving short-term goals are included in,long-term incentives,short-term incentives,pay scale,ranking jobs,B,No explanation,
Question 493,Job's pay rate in comparison with one's own firm is an example of,external equity,primary equity,secondary equity,collective equity,A,No explanation,
Question 494,Promotion decision addresses questions like,seniority or competency the rule,promote vertically,promote horizontally,all of above,D,No explanation,
Question 495,Situation in which senior employees' salaries are lesser than recruited employees called,salary compression,incentive compression,aligned reward strategy,bonuses compression,A,No explanation,
Question 496,United States citizen work in China in subsidiary of company whose headquarter is located in United States an example of,expatriates,Second country nationals,home country nationals,both a and c,C,No explanation,
Question 497,Combination of salary and commission is part of,salary plan,commission plan,combination plan,proportionate plan,C,No explanation,
Question 498,A personnel plan requires forecast of,personnel needs,supply of inside candidates,supply of outside candidates,all of above,D,No explanation,
Question 499,'Patents' can be best classified as,potential opportunities,potential threats,potential strengths,potential Weaknesses,C,No explanation,
Question 500,Kind of union security in which employees are not member of union but pay dues of union classified as,closed shop,union shop,agency shop,preferential shop,C,No explanation,
Question 501,Method according to which two or more people share a full time single job classified as,severance sharing,flexible sharing,benefit sharing,job sharing,D,No explanation,
Question 502,An organized effort by union members to exert pressure on company by pressurizing customers shareholders directors and creditors is called,wildcat campaign,impasse campaign,corporate campaign,picket campaign,C,No explanation,
Question 503,In career development process utilization of development opportunities is included in,individual role,manager role,employer role,line manager,A,No explanation,
Question 504,Helping retirees and preparing them for retirement is an aim of,phased retirement,preretirement counseling,honoring experience,modifying selection procedure,B,No explanation,
Question 505,Strike called by union labor when illegal practices are to be conducted by company's employer is classified as,sympathy strike,wildcat strike,unfair labor practice strike,economic strike,C,No explanation,
Question 506,'Health counseling' is an example of,phased retirement,preretirement counseling,honoring experience,modifying selection procedure,B,No explanation,
Question 507,People who chosen careers having more structured activities is classified as,realistic orientation,investigative orientation,social orientation,conventional orientation,D,No explanation,
Question 508,According to Fredrick Herzberg a person's high-level needs are classified as,unhygienic,unmotivated,motivators,hygiene's,C,No explanation,
Question 509,Span of control and management level of executive is included in,job complexity,complexity in hiring,complexity in training,complexity in recruitment,A,No explanation,
Question 510,Aligning and evaluating employee's performance with company's set goals is called,appraisal management,performance management,hierarchy of management,off-the-job training,B,No explanation,
Question 511,An illegal strike which occurs during term of agreement is classified as,wildcat strike,unfair labor practice strike,sympathy strike,economic strike,A,No explanation,
Question 512,Ensuring implementation of 'HR' policies by line managers is part of,Line functions,Coordinative functions,Staff functions,all of above,B,No explanation,
Question 513,First step in 'appraising process' is,defining the job,training session,feedback session,interview sessions,A,No explanation,
Question 514,An automated end to end process of planning and recruiting employees is called,phased retirement,pre-retirement counseling,talent management,modifying selection procedure,C,No explanation,
Question 515,Supplemental insurance plans are included in,long-term incentives,short-term benefits,executive perks,job ranking,C,No explanation,
Question 516,Creating a package of rewards for employees is called,HR strategy,performance appraisal,aligned reward strategy,aligned compensating strategy,C,No explanation,
Question 517,When ratings are collected from supervisors customers and peers considered as,350-degree feedback,320-degree feedback,360-degree feedback,380-degree feedback,C,No explanation,
Question 518,People that are attracted to occupation of biologist is best classified as,realistic orientation,investigative orientation,social orientation,artistic orientation,B,No explanation,
Question 519,In career development providing support for growth and self-direction is a futile part of,individual role,manager role,employer role,line manager,C,No explanation,
Question 520,Occupations involving strength and coordination belong to personality orientation of,realistic orientation,investigative orientation,social orientation,artistic orientation,A,No explanation,
Question 521,Need of food water and shelter is classified as,psychological needs,self-actualization,physiological needs,self-esteem needs,C,No explanation,
Question 522,An assistance needs to manage localized human resources which are provided by,Transactional HR group,Embedded HR group,Corporate HR group,Centers of expertise,B,No explanation,
Question 523,An theory states that employees seek balance between offered services and taken salaries is called,equity theory of motivation,equity theory of salaries,equity theory of wages,equity theory of compression,A,No explanation,
Question 524,In career development assessing your own career interests is included in,individual role,manager role,employer role,line manager,A,No explanation,
Question 525,People with realistic personality approach often choose careers as,bankers,investment managers,engineers,credit managers,C,No explanation,
Question 526,Fairness of process is classified as,descriptive justice,procedural justice,distributive justice,severance justice,B,No explanation,
Question 527,People who have conventional personality often choose career of,accountants,bankers,credit managers,all of above,D,No explanation,
Question 528,An automated end to end process of managing and compensating employees is called,phased retirement,preretirement counseling,talent management,modifying selection procedure,C,No explanation,
Question 529,Factors contribute to differentiate its market offering from other products is called,Positioning,Competitive advantage,Consolidation,Both a and b,B,No explanation,
Question 530,An enterprise Incentive Management systems include,planning compensation,analyzing compensation,managing compensation,all of above,D,No explanation,
Question 531,From employer's point of view talent management is also known as,phased retirement,career management,talent management,modifying selection procedure,B,No explanation,
Question 532,Process that enables manager to make comparison between employee's and his department goals is,direction sharing,goal alignment,rewards and recognition,coaching and development support,B,No explanation,
Question 533,While writing job description major functions or activities are written in,job summary,responsibilities and duties,job identification,both b and c,A,No explanation,
Question 534,An integral part of feedback process is,direction sharing,goal alignment,ongoing performance monitoring,coaching and development support,D,No explanation,
Question 535,Work streams talent management system includes,industry leading compensation,performance applications,knowledge management applications,all of above,D,No explanation,
Question 536,Personal qualities and traits required for job is stated in,job descriptions,job analysis,job specifications,Both A and C,C,No explanation,
Question 537,'praise' and 'expression of approvals' in form of program are best classified as,social recognition program,performance feedback,fixed premium,financial awards,A,No explanation,
Question 538,Benefit provided to an individual who is unable to work due to his or her own faults regarded as,optional insurance,unemployment insurance,supplemental insurance,compensatory insurance,B,No explanation,
Question 539,Factors for determining pay rates are,direct financial payments,indirect financial payments,paid bonuses,Both A and B,D,No explanation,
Question 540,In 360-degree feedback ratings are collected from,supervisors,subordinates,peers,all of above,D,No explanation,
Question 541,Fairness of individual's job pay rates in comparison to employees within firm is included in,secondary equity,collective equity,primary equity,individual equity,D,No explanation,
Question 542,In growing organization specialized staff is needed by,Line manager,HR manager,Staff manager,all of above,A,No explanation,
Question 543,Changing process in which change is formulated and implemented by employees is called,organizational development,organizational change,Lewin change process,Maslow's change hierarchy,A,No explanation,
Question 544,Determining job's worth in comparison of other job is called,job description,job specification,job evaluation,job analysis,C,No explanation,
Question 545,A systematic method to teach skills for job while presenting facts and getting feedback is called,job rotation,off the job training,job instruction training,programmed learning,D,No explanation,
Question 546,According to Fredrick Herzberg person's low-level needs are classified as,hygiene's,motivators,unhygienic,unmotivated,A,No explanation,
Question 547,People having investigative personality often choose profession as,physicians,psychologists,R&amp;D managers,all of above,D,No explanation,
Question 548,Employees that are to be retired in nearest times are of,Generation X,Generation Y,Baby Boomers,none of above,C,No explanation,
Question 549,'management turnover' can be best classified as,Potential opportunities,Potential Threats,Potential Strengths,Potential Weaknesses,D,No explanation,
Question 550,Company matches its capabilities with environmental demands is,Strategic planning,Corporate plan,Strategy,all of above,A,No explanation,
Question 551,On basis of comparable jobs variables such as skills responsibility and working conditions considered as,logical factors,comprehensive factors,compensable factors,intuitive factors,C,No explanation,
Question 552,Few career programs for women is concluded as,bias,reality shock,promotion,transfer,A,No explanation,
Question 553,A stage in which employees slide from stabilization stage is called,stabilization sub stage,trial sub stage,establishment stage,maintenance stage,D,No explanation,
Question 554,Making a fit between company's competitive aims and each department's plan is,Strategic planning,Strategic fit,Corporate strategy,Competitive strategy,B,No explanation,
Question 555,Types in which benefits are classified are,insurance benefits,pay for time not worked,retirement benefits,all of above,D,No explanation,
Question 556,A test's validity can be demonstrated in,Two ways,Three ways,Four ways,Five ways,A,No explanation,
Question 557,A job that helps employers to arrange job in relative worth is called,benchmark jobs,salary survey,permanent job,temporary job,A,No explanation,
Question 558,An advantage of not recalculating piece rate is because of using,standard hour plan,standard piece rate,standard piecework,variable hour plan,A,No explanation,
Question 559,People having enterprising personality oriented choose profession are,military officers,advertising executives,carpenters,engineers,A,No explanation,
Question 560,Measurement of results after training programs is classified as,measuring reaction,measuring learning,measuring behavior,measuring results,D,No explanation,
Question 561,For current markets development of improved products is part of,Market penetration,Market development,Product development,none of above,C,No explanation,
Question 562,When action plan is prepared for correcting performance deficiencies is,satisfactory-promotable interview,satisfactory-not promotable interview,unsatisfactory-correctable interview,unsatisfactory-uncorrectable interview,C,No explanation,
Question 563,Category which is not included in 'organizational development' is,techno structural,strategic applications,human process,consolidation of gains,D,No explanation,
Question 564,Counseling and compensation of employees is part of,Staffing,Controlling,Leading,Organizing,A,No explanation,
Question 565,'corporate strategy' includes,Consolidation,Geographic expansion,Differentiation,Both a and b,D,No explanation,
Question 566,A tax deductible bonus plan according to which employers contribute to a trust for later use for employees is classified as,early retirement window plan,employee stock ownership plan,cash balance plan,severance pay plan,B,No explanation,
Question 567,"Statement by Wal-Mart ""Save money Live better"" is pointing its business strategy as",Consolidation,Horizontal integration,Cost leadership,all of above,C,No explanation,
Question 568,Manager who can only issue orders in his own department,Line managers,Staff managers,HR managers,all of above,B,No explanation,
Question 569,Qualitative or quantitative information for maintaining or changing performance is part of,performance feedback,performance appraisal,appraisal system,appraisal feedback,A,No explanation,
Question 570,People attracted to occupation involving cognitive activities are classified as,realistic orientation,investigative orientation,social orientation,artistic orientation,B,No explanation,
Question 571,Manipulation of appraisal rating on basis of 'age' is an example of,lenient/strict tendency,bias,central tendency,different tendencies,B,No explanation,
Question 572,According to Herzberg for creating self-motivated workforce employers should focus on the,motivator factors,de-motivator factors,intrinsic factors,extrinsic factors,A,No explanation,
Question 573,Cornerstone of any executive salary is,salary,bonuses,commissions,stock options for employees,A,No explanation,
Question 574,Benefits provided in certain industries by employers in unexpected conditions are classified as,supplemental unemployment benefits,supplemental employment benefits,optional employment benefits,optional unemployment benefits,A,No explanation,
Question 575,Quality and timeliness of work is classified as,what you are measuring,"how you are measuring,what are the set standards""",the rules of performance appraisals,A,,No explanation,
Question 576,If there is no expectancy instrumentality and valence then there will be,extrinsic rewards,intrinsic rewards,motivation,detraction,C,No explanation,
Question 577,Compensation given to expatriates for exceptionally hard working and living conditions at certain locations is classified as,ethnocentric allowances,mobility premiums,hardship allowances,Foreign Service premiums,C,No explanation,
Question 578,'Leisure time counseling' is an example of,phased retirement,preretirement counseling,honoring experience,modifying selection procedure,B,No explanation,
Question 579,Engineers and scientists analytical job's needs,creativity,problem solving,training,Both A and B,D,No explanation,
Question 580,Standards that decided what kind of conduct employees of organization should possess,descriptive justice,procedural justice,distributive justice,ethics,D,No explanation,
Question 581,In professional jobs mostly compensable focused factors are,problem solving,creativity,technical knowledge and expertise,all of above,D,No explanation,
Question 582,A job enrichment is a way to,motivate employees,compensate employs,staffing new employees,all of above,A,No explanation,
Question 583,In job classification group which contains similar jobs is called,classes,grades,rows,columns,A,No explanation,
Question 584,In career development providing mentoring opportunities is part of,individual role,manager role,employer role,line manager,C,No explanation,
Question 585,'job grading' is another name of,point method,job classification,alternative ranking method,aligned reward strategy,B,No explanation,
Question 586,An elimination of direct comparison in ranking method of job evaluation is included in,combine ratings,rank jobs,selecting compensable factors,select and group jobs,D,No explanation,
Question 587,'process consultation' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,A,No explanation,
Question 588,'coaching' and 'mentoring' require,analytical skills,logical skills,interpersonal skills,Both A and C,D,No explanation,
Question 589,Job pay rate depends on,the job itself,the qualification only,the skills and knowledge only,the training completed only,A,No explanation,
Question 590,'new overseas markets' can be best classified as,Potential opportunities,Potential Threats,Potential Strengths,Potential Weaknesses,A,No explanation,
Question 591,Next step after 'defining current business' is to,external and internal audit,Formulating a new direction,Formulating strategies,Implement the strategies,A,No explanation,
Question 592,An idea of instituting 'HR' policies to support and encourage senior workers is part of,promotions,transfers,reality shock,managing retirements,D,No explanation,
Question 593,'performance appraisal' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,D,No explanation,
Question 594,In career development discussing your career with your manager is part of,individual role,manager role,employer role,line manager,A,No explanation,
Question 595,'supply chain management' is included in,personal competencies,interpersonal competencies,business management,Both A and C,C,No explanation,
Question 596,Scale is used in 'HRD' scorecard consists of,5-point scale,10-point scale,4-point scale,none of above,B,No explanation,
Question 597,Kind of union security from employees unions in which company can hire people that are not members of unions is classified as,closed shop,union shop,agency shop,preferential shop,B,No explanation,
Question 598,Employers generally use feedback to,employee development,avoid central tendency and biases,rank someone,hire the employee,A,No explanation,
Question 599,'job rotation' means,redesigning jobs of workers,assigning additional activities to workers,moving workers from one job to the other,none of above,C,No explanation,
Question 600,Stage in which manager makes sure that past practices are still in continuation or not is,unfreezing stage,moving stage,refreezing stage,nonmoving stage,C,No explanation,
Question 601,'Talent Management' automated end to end process involves,recruiting and hiring,managing employees,compensating employees,all of above,D,No explanation,
Question 602,Asking manager 'Does employee is informed about performance standards' is part of,antecedents,behavior,consequences,counseling,A,No explanation,
Question 603,An example of 'variable pay' is,profit sharing plan,pay for performance,pay for skills,pay for tenure,A,No explanation,
Question 604,Bankers are best classified in a personality type of,realistic orientation,investigative orientation,social orientation,conventional orientation,D,No explanation,
Question 605,'qualitative methods of evaluation' does not include,point method,factor comparison method,graphical evaluation,none of above,D,No explanation,
Question 606,People favors career in which personal needs of employees are subordinated to company is,realistic orientation,investigative orientation,social orientation,conventional orientation,D,No explanation,
Question 607,Ranging and grading salary into just few levels is called,broad banding,less branding,competency model,skill based pay model,A,No explanation,
Question 608,Changing behavior of employees by rewarding or punishing is called,behavior modification,behavior modeling,behavior reshaping,behavior management,A,No explanation,
Question 609,In traditional focus providing information about skills learning is included in,training and development,performance appraisal,recruiting and placement,human resource planning,A,No explanation,
Question 610,In talent management end to end process learning management systems lead to,succession planning,performance management,compensation management,e-recruiting,D,No explanation,
Question 611,"In 'ABC' approach which is used in formulating hypothesis ""A"" stands for",apprenticeship,antecedents,appraisal performance,appraisal management,B,No explanation,
Question 612,'HR' activities lead to,Achievement of strategic goals,Organizational performance,Emergent employee behaviors,all of above,D,No explanation,
Question 613,Interviews with employees who are leaving firm for any reason are classified as,termination interview,outplacement counseling,exit interviews,subordination interviews,C,No explanation,
Question 614,People attracted to occupations that require physical activities are best classified as,realistic orientation,investigative orientation,social orientation,artistic orientation,A,No explanation,
Question 615,Certain basic factors used for comparing jobs are called,compensable factors,intuitive factors,logical factors,comprehensive factors,A,No explanation,
Question 616,An employee training and confidence building is best classified as,extrinsic rewards,intrinsic rewards,de-expectancy,expectancy,D,No explanation,
Question 617,Online career development workshops are one of method of,career management,appraisal management,performance management,employee development,A,No explanation,
Question 618,In setting SMART goals 'M' stands for,Measureable,Managed personnel,More than expected,none of above,A,No explanation,
Question 619,'commission' that salesmen earns is an example of,direct pay,indirect pay,compensation,direct recruitment,A,No explanation,
Question 620,Measure of 'cost effectiveness' among employees is part of,HRD culture,Business linkage score,HRD competence score,HRD system maturity score,B,No explanation,
Question 621,Validity test for applicants for a specific job is called,concurrent validation,predictive validation,criterion validity,content validity,B,No explanation,
Question 622,Lawyers are tend to be classified as personality type of,social,non artistic,investigative,enterprising,D,No explanation,
Question 623,Types of 'test validity' consist of,criterion validity,content validity,Score validity,Both A and B,D,No explanation,
Question 624,Example of 'general competency' related to job is included,strategic thinking,mathematical reasoning,reading and writing,both b and c,D,No explanation,
Question 625,Providing employees development budget is a method relating to,career management,appraisal management,performance management,employee development,A,No explanation,
Question 626,Building blocks of performance management are,3,4,5,6,D,No explanation,
Question 627,In career development realistic career plans is included in,individual role,manager role,employer role,line manager,A,No explanation,
Question 628,A system which measures ongoing performance and e-mails reports is called,direction sharing,goal alignment,ongoing performance monitoring,ongoing feedback,C,No explanation,
Question 629,An availability of information systems to integrate learning with employee pay is part of,phased retirement,preretirement counseling,talent management,modifying selection procedure,C,No explanation,
Question 630,Distinct task of staff manager is to,Advise other employees,Evaluating performance,Issuing orders to others,Appraising performance,A,No explanation,
Question 631,An availability of information systems to integrate recruitment with learning is a part of,phased retirement,preretirement counseling,talent management,modifying selection procedure,C,No explanation,
Question 632,Disadvantage of graphic rating scale is,halo effect,bias,central tendency,all of above,D,No explanation,
Question 633,Rates are placed in percentages in performance categories is followed in,graphic rating scale method,forced distribution method,alternation ranking method,paired comparison method,B,No explanation,
Question 634,Counseling with employees for benefits advice and second careers is an example of,phased retirement,preretirement counseling,honoring experience,modifying selection procedure,B,No explanation,
Question 635,Interviews can be,structured only,unstructured only,both structured and unstructured,none of above,C,No explanation,
Question 636,An availability of new talent management information system is a key driver of,phased retirement,career management,talent management,modifying selection procedure,C,No explanation,
Question 637,Defining factors to be compared is included in,selection of compensable factors,selection of intuitive factors,selection of logical factors,selection of comprehensive factors,A,No explanation,
Question 638,A company's strategic goals must work towards,succession planning,performance management,compensation management,all of above,D,No explanation,
Question 639,In career development providing timely performance feedback is a futile part of,individual role,manager role,employer role,line manager,B,No explanation,
Question 640,Training of employees during a job is called,on the job training,off the job training,job instruction training,none of above,A,No explanation,
Question 641,A country in which headquarters of company are located are classified as,Third country nationals,home country nationals,expatriates,subordinates,B,No explanation,
Question 642,Introduction of new or current trends for optimal 'HR' utilization is part of,Coordinative function,Staff function,Line function,all of above,B,No explanation,
Question 643,An equity theory of motivation applies to employees who are often,under paid,over paid,regularly paid,non paid internees,A,No explanation,
Question 644,Reducing in work hours is an example of,phased retirement,flexible work,honoring experience,modifying selection procedure,A,No explanation,
Question 645,Each department of company helps in achieving company goals is referred as,Corporate strategy,Competitive strategy,Functional strategy,Both a and b,C,No explanation,
Question 646,Calculating numerical rating and arranging each job according to skill is called,point method,job grading,factor comparison method,alternation ranking method,C,No explanation,
Question 647,"In 'ABC' approach which is used in formulating hypothesis ""B"" stands for",behavior,benchmarking,best supporting team,bearing peer pressure,A,No explanation,
Question 648,Establishing company based career centers is a method relating to,career management,appraisal management,performance management,employee development,A,No explanation,
Question 649,Process of identifying assessing and developing leadership is called,Employment planning,Human resource planning,Succession planning,all of above,C,No explanation,
Question 650,Straight commission plan pay salespeople for their,results,experience,skills,knowledge,A,No explanation,
Question 651,Performance management distinct feature is,continuous evaluating,continuous re-evaluating,never evaluating performances,evaluating for salary purposes,B,No explanation,
Question 652,Comparison of fairness of job's pay rate to other jobs in company is called,external equity,collective equity,individual equity,internal equity,D,No explanation,
Question 653,Workers compensation disability insurance health and hospitalization costs are all types of,employment benefits,unemployment benefits,insurance benefits,optional benefits,C,No explanation,
Question 654,One time paid payment at time of termination of employees is classified as,compensation pay,supplemental pay,sick leave pay,severance pay,D,No explanation,
Question 655,Counseling with employees before retirement for second careers outside firm is an example of,phased retirement,preretirement counseling,honoring experience,modifying selection procedure,B,No explanation,
Question 656,Coordination of personnel activities is a crucial part of,Functional authority,Line function,Staff functions,all of above,A,No explanation,
Question 657,First step in planning process is to,Set an objective,Evaluate alternatives,Determine strength and weaknesses,none of above,A,No explanation,
Question 658,An advantage of 'critical incident method' is,avoids central tendency and biases,avoids central tendency and biases,provides behavioral anchors,ongoing basis evaluation,D,No explanation,
Question 659,A company 'Apollo' tyres diversifying in entertainment business can be a classic example of,Conglomerate diversification,Related diversification,Both A and B,none of above,A,No explanation,
Question 660,Dimension which measures competency of company's top management to lower level employees is,HRD systems maturity score,HRD competence score,HRD culture,Employee linkage score,B,No explanation,
Question 661,An employee compares his pay with other's pay in company at same position is called,internal equity,external equity,collective equity,individual equity,B,No explanation,
Question 662,Period that spans between ages 15 to 24 is classified as,exploration stage,trial sub stage,establishment stage,maintenance stage,A,No explanation,
Question 663,Generally in chain of command no one can issue orders outside their own department is,staff managers,line managers,CEO,none of above,A,No explanation,
Question 664,Levels and series of steps based on years of service in pay grades are called,pay ranges,grade ranges,similar jobs grades,anchoring pay ratings,A,No explanation,
Question 665,When person's performance is not satisfactory but can be improved is,satisfactory-promotable interview,satisfactory-not promotable interview,unsatisfactory-correctable interview,unsatisfactory-uncorrectable interview,C,No explanation,
Question 666,Measuring performance on basis of job tasks actually done is called,sampling technique,work sampling technique,work sample,all of above,B,No explanation,
Question 667,Reduction in size of company size,Geographic expansion,Consolidation,Diversification,Horizontal integration,B,No explanation,
Question 668,Understanding career skills and effectively use them for employees is process known as,career,career management,career planning,career development,B,No explanation,
Question 669,Creating culture of honoring experience is a tool of,keeping retirees,keeping employees,attracting retirees,Both A and C,D,No explanation,
Question 670,In traditional focus managing attitudes related to job are included in,training and development,performance appraisal,recruiting and placement,human resource planning,A,No explanation,
Question 671,Through test measuring for Checking what we intended to know is,test validity,criterion validity,content validity,reliability,A,No explanation,
Question 672,An underlying talent management components in software suites are,e-recruiting,e-training,performance reviews and rewards,all of above,D,No explanation,
Question 673,A manager have line or staff authority is determined by,person in charge,Name of person in charge,type of department,nature of relationship,D,No explanation,
Question 674,A method in which corresponding points of each compensable factors for calculation of total point is called,point method,factor comparison,job classification,alternation ranking method,A,No explanation,
Question 675,Promoting organizational effectiveness through 'HR' policies and practices is known as,human resource metrics,evidence based management,high performance work system,none of above,C,No explanation,
Question 676,A willful and deliberate violation of code of ethic of any organization is classified as,misconduct,lack of qualifications,unsatisfactory satisfaction,insubordination,A,No explanation,
Question 677,People belongs to profession of chemist is best classified as,realistic orientation,investigative orientation,social orientation,artistic orientation,B,No explanation,
Question 678,Disadvantage of 'forced distribution method' is,difficult to develop,cause of disagreements,time consuming,ranking is based on employer's cutoff points,D,No explanation,
Question 679,A job analysis consists of,job description,job specification,Both A and B,none of above,C,No explanation,
Question 680,Incentive and pay plan is tied to company's overall profitability is called,fixed pay,variable pay,fixed-variable pay,mixed pay,B,No explanation,
Question 681,Benefits given to victims who have work-related accidents are called,insured compensation,supplemental compensation,workers compensation,optional compensation,C,No explanation,
Question 682,Focus on career development tuition reimbursement plans are part of,training and development,performance appraisal,recruiting and placement,compensation and benefits,D,No explanation,
Question 683,Bargaining items that are neither mandatory nor illegal while negotiation parties do not compel each other for bargaining are classified as,voluntary bargaining items,permissible bargaining items,illegal bargaining items,both a and b,D,No explanation,
Question 684,'commonsense' observations are part of,Maslow's motivation theory,Victor Vroom expectancy theory,Fredrick Herzberg motivation theory,Edward Deci motivation theory,B,No explanation,
Question 685,In recent years job title and tenure is replaced by,employee performance and competencies,company growth and market share,employee skills and creativity,pay for knowledge,A,No explanation,
Question 686,In career development providing training and development workshops is part of,individual role,manager role,employer role,line manager,C,No explanation,
Question 687,Job analysis information can be collected through,Interviews,Questionnaires,Both A and B,none of above,C,No explanation,
Question 688,In traditional focus reward is based on,training and development,performance appraisal,recruiting and placement,compensation and benefits,D,No explanation,
Question 689,Duties of 'HR' manager and staff functions consist of,Assisting line manager,Implementing the policies,Directing the tasks of people,all of above,A,No explanation,
Question 690,Jobs pay rates on basis of each individual performance is called,individual equity,pay rate equity,collective equity,procedural equity,A,No explanation,
Question 691,'market leadership' can be best classified as,Potential opportunities,Potential Threats,Potential Strengths,Potential Weaknesses,C,No explanation,
Question 692,Portion of increased salary paid to employee for an individual performance is called,merit pay,motivators,de-merit pay,fixed merit pay,A,No explanation,
Question 693,'explanation of Social Security benefits' is an example of,phased retirement,preretirement counseling,honoring experience,modifying selection procedure,B,No explanation,
Question 694,'Human Resource Management' is process of,Acquiring Employees,Training Employees,Appraising and Compensating Employees,all of above,D,No explanation,
Question 695,In a big five models 'openness to experience' is tendency to be,imaginative,assertive,achievement,autonomous,A,No explanation,
Question 696,'Behaving ethically' is included in,personal competencies,interpersonal competencies,business management,Both A and C,A,No explanation,
Question 697,Use of data facts analytics and evaluated research for making decision is,Evidence based HRM,High performance work system,Both A and B,none of above,A,No explanation,
Question 698,In career development seeking out information for career is included in,individual role,manager role,employer role,line manager,A,No explanation,
Question 699,Values of top executives include,polycentric,geocentric,ethnocentric,all of above,D,No explanation,
Question 700,Relationship between two variables can be identified with help of,ratio analysis,scatter plot,trend analysis,all of above,B,No explanation,
Question 701,A problem occurs when supervisor might rate all employees 'high' or 'low' is called,lenient/strict tendency,biasing tendency,central tendency,different tendencies,A,No explanation,
Question 702,A manager teaches job-related skills in coaching for,longer span of time,shorter span of time,resetting salary schedules,self-managing teams,B,No explanation,
Question 703,An availability of new 'IT' system to track succession planning is part of,phased retirement,preretirement counseling,talent management,modifying selection procedure,C,No explanation,
Question 704,An advantage of 'forced distribution method' is,avoids central tendency and biases,avoids central tendency and biases,provides behavioral anchors,end up with predetermined rating figures,D,No explanation,
Question 705,A company can translate mission into strategic objectives by,Vertical integration,Diversity,Geographic coverage,all of above,D,No explanation,
Question 706,Wages and salaries are included in,direct financial payments,indirect financial payments,compensations,counseling,A,No explanation,
Question 707,Performance rating as good or bad on numerical rating scale is called,critical incident method,forced distribution method,behaviorally anchored rating scale,paired comparison method,C,No explanation,
Question 708,Equity theory of motivation includes,external equity,internal equity,individual equity,all of above,D,No explanation,
Question 709,Type of employees pay rate in which pay is attached with productivity is called,fixed pay,variable pay,fixed-variable pay,mixed pay,B,No explanation,
Question 710,Company 'Asian paints' operates in 18 countries is an example of,Horizontal integration,Vertical integration,Geographic expansion,none of above,C,No explanation,
Question 711,Period in which people learn how to develop new roles is called,exploration stage,growth stage,midcareer crisis sub stage,decline stage,D,No explanation,
Question 712,Fair procedures perceived for allocation of job pay rates is included in,procedural equity,pay rate equity,primary equity,individual equity,A,No explanation,
Question 713,Consistency of obtained scores in a test is measured by,test validity,criterion validity,content validity,reliability,D,No explanation,
Question 714,Process which consists how and what positions are to be filled is called,Employment planning,Human resource planning,Succession planning,all of above,D,No explanation,
Question 715,Disadvantage of 'BARS' appraisal system is,halo effect,bias,central tendency,difficult to develop,D,No explanation,
Question 716,Levels within a 'pay grade' are called,pay ranges,grade scales,group of similar jobs,tuning pay rates,A,No explanation,
Question 717,A technique is used for obtaining information from person orally and directly is called,Interviews,questionnaires,appraisal interview,none of above,A,No explanation,
Question 718,In talent management end to end process performance management leads,succession planning,compensation management,learning management systems,e-recruiting,C,No explanation,
Question 719,Stage in which person focuses on maintaining established position is called,exploration stage,growth stage,midcareer crisis sub stage,maintenance stage,D,No explanation,
Question 720,A validity test that contains a fair sample of performed tasks in actual job is called,criterion validity,content validity,Score validity,Both A and B,B,No explanation,
Question 721,People having 'foreign services' as profession are best classified as,realistic orientation,investigative orientation,social orientation,artistic orientation,C,No explanation,
Question 722,'unclear standards' usually results in,unfair appraisals,fake appraisals,true appraisals,Both A and B,D,No explanation,
Question 723,Second step in planning process is to,Set an objective,Evaluate alternatives,Determine strength and weaknesses,none of above,C,No explanation,
Question 724,Converting of strategies into actions is meant by,Formulate strategies,Implement the strategies,Evaluate performance,all of above,B,No explanation,
Question 725,Ranking of all employees measuring a specific trait by making pairs of employees is called,graphic rating scale method,management by objectives,alternation ranking method,paired comparison method,D,No explanation,
Question 726,Series of lifetime activities contributing in establishment fulfillment and success of a person's career is called,career,career management,career planning,career development,D,No explanation,
Question 727,'controlled experimentation' is a technique use for,designing of evaluation,the things to measure,in-house development,consolidation of gains,A,No explanation,
Question 728,Comparison between what salary coworkers are getting for similar jobs is called,individual equity,pay rate equity,collective equity,procedural equity,A,No explanation,
Question 729,In 'job grading method' group of jobs that are different is called,classes,rank jobs,grades,rows,B,No explanation,
Question 730,Score that measures how much business goals are achieved by 'HRD' efforts is,HRD culture,Business linkage score,HRD competence score,HRD system maturity score,B,No explanation,
Question 731,An employee's aspirations and plans are linked to,appraisal feedback,appraisal performance,employee training,employee development,A,No explanation,
Question 732,Meaning of 'direction sharing' is,communicating line authority,staff authority,communicating company's higher-level goals,communicating future HR policies,C,No explanation,
Question 733,An overview of knowledge skills and behaviors in a single diagram is called,need analysis competency model,competency model,task analysis,Both A and C,B,No explanation,
Question 734,Stage in which a person develops a self-concept is called,exploration stage,growth stage,establishment stage,maintenance stage,B,No explanation,
Question 735,People who choose medical profession is an example of,conventional personality,non-conventional personality,investigative personality,non investigative personality,C,No explanation,
