Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,,,,,,,
Question 157,On 8th Dec 2007 Saturday falls. What day of the week was it on 8th Dec 2006?,Sunday,Thursday,Tuesday,Friday,D, The year 2006 is an ordinary year. So it has 1 odd day.So the day on 8th Dec 2007 will be 1 day beyond the day on 8th Dec 2006.But 8th Dec 2007 is Saturday.‰ö« 8th Dec 2006 is Friday.,,,,,,,
Question 158,January 1 2008 is Tuesday. What day of the week lies on Jan 1 2009?,Monday,Wednesday,Thursday,Sunday,C, The year 2008 is a leap year. So it has 2 odd days.1st day of the year 2008 is Tuesday (Given)So 1st day of the year 2009 is 2 days beyond Tuesday.Hence it will be Thursday.,,,,,,,
Question 159,January 1 2007 was Monday. What day of the week lies on Jan. 1 2008?,Monday,Tuesday,Wednesday,Sunday,B, The year 2007 is an ordinary year. So it has 1 odd day.1st day of the year 2007 was Monday.1st day of the year 2008 will be 1 day beyond Monday.Hence it will be Tuesday.,,,,,,,
Question 160,3 pumps working 8 hours a day can empty a tank in 2 days. How many hours a day must 4 pumps work to empty the tank in 1 day?,9,10,11,12,D, Let the required number of working hours per day be x.More pumps Less working hours per day (Indirect Proportion)Less days More working hours per day (Indirect Proportion),,,,,,,
Question 161,If the cost of x metres of wire is d rupees then what is the cost of y metres of wire at the same rate?,Rs. (xy/d),Rs. (xd),Rs. (yd),Rs. (yd/x),D,None,,,,,,,
Question 162,Running at the same constant rate 6 identical machines can produce a total of 270 bottles per minute. At this rate how many bottles could 10 such machines produce in 4 minutes?,648,1800,2700,10800,B, Let the required number of bottles be x.More machines More bottles (Direct Proportion)More minutes More bottles (Direct Proportion),,,,,,,
Question 163,A fort had provision of food for 150 men for 45 days. After 10 days 25 men left the fort. The number of days for which the remaining food will last is:,29(1/5),37(1/4),42,54,C, After 10 days : 150 men had food for 35 days.Suppose 125 men had food for x days.Now Less men More days (Indirect Proportion),,,,,,,
Question 164,39 persons can repair a road in 12 days working 5 hours a day. In how many days will 30 persons working 6 hours a day complete the work?,10,13,14,15,B, Let the required number of days be x.Less persons More days (Indirect Proportion)More working hours per day Less days (Indirect Proportion),,,,,,,
Question 165,A man completes 5/8 of a job in 10 days. At this rate how many more days will it takes him to finish the job?,5,6,7,71/2,B,None,,,,,,,
Question 166,If a quarter kg of potato costs 60 paise how many paise will 200 gm cost?,48 paise,54 paise,56 paise,72 paise,A,None,,,,,,,
Question 167,In a dairy farm 40 cows eat 40 bags of husk in 40 days. In how many days one cow will eat one bag of husk?,1,Jan-40,40,80,C, Let the required number of days be x.Less cows More days (Indirect Proportion)Less bags Less days (Direct Proportion),,,,,,,
Question 168,A wheel that has 6 cogs is meshed with a larger wheel of 14 cogs. When the smaller wheel has made 21 revolutions then the number of revolutions mad by the larger wheel is:,4,9,12,49,B, Let the required number of revolutions made by larger wheel be x.Then More cogs Less revolutions (Indirect Proportion),,,,,,,
Question 169,If 7 spiders make 7 webs in 7 days then 1 spider will make 1 web in how many days?,1,07-Feb,7,49,C, Let the required number days be x.Less spiders More days (Indirect Proportion)Less webs Less days (Direct Proportion),,,,,,,
Question 170,A flagstaff 17.5 m high casts a shadow of length 40.25 m. The height of the building which casts a shadow of length 28.75 m under similar conditions will be:,10 m,12.5 m,17.5 m,21.25 m,B, Let the height of the building x metres.Less lengthy shadow Less in the height (Direct Proportion)‰ö« 40.25 : 28.75 :: 17.5 : x     ‰àÓ     40.25 x x = 28.75 x 17.5,,,,,,,
Question 171,In a camp there is a meal for 120 men or 200 children. If 150 children have taken the meal how many men will be catered to with remaining meal?,20,30,40,50,B, There is a meal for 200 children. 150 children have taken the meal.Remaining meal is to be catered to 50 children.,,,,,,,
Question 172,An industrial loom weaves 0.128 metres of cloth every second. Approximately how many seconds will it take for the loom to weave 25 metres of cloth?,178,195,204,488,B, Le the required time be x seconds.More metres More time (Direct Proportion),,,,,,,
Question 173,36 men can complete a piece of work in 18 days. In how many days will 27 men complete the same work?,12,18,22,24,D, Let the required number of days be x.Less men More days (Indirect Proportion),,,,,,,
Question 174,4 mat-weavers can weave 4 mats in 4 days. At the same rate how many mats would be woven by 8 mat-weavers in 8 days?,4,8,12,16,D, Let the required number of bottles be x.More weavers More mats (Direct Proportion)More days More mats (Direct Proportion),,,,,,,
Question 175,A bank offers 5% compound interest calculated on half-yearly basis. A customer deposits Rs. 1600 each on 1st January and 1st July of a year. At the end of the year the amount he would have gained by way of interest is:,Rs. 120,Rs. 121,Rs. 122,Rs. 123,B, Amount C.I. = Rs. (3321 - 3200) = Rs. 121,,,,,,,
Question 176,The difference between simple and compound interests compounded annually on a certain sum of money for 2 years at 4% per annum is Re. 1. The sum (in Rs.) is:,625,630,640,650,A,,,,,,,,
Question 177,There is 60% increase in an amount in 6 years at simple interest. What will be the compound interest of Rs. 12000 after 3 years at the same rate?,Rs. 2160,Rs. 3120,Rs. 3972,Rs. 6240,C,,,,,,,,
Question 178,What is the difference between the compound interests on Rs. 5000 for 1 1/2 years at 4% per annum compounded yearly and half-yearly?,Rs. 2.04,Rs. 3.06,Rs. 4.80,Rs. 8.30,A, C.I. when interest compounded yearly =C.I. when interest is compounded half-yearly =‰ö« Difference = Rs. (5306.04 - 5304) = Rs. 2.04,,,,,,,
Question 179,The compound interest on Rs. 30000 at 7% per annum is Rs. 4347. The period (in years) is:,2,21-Feb,3,4,A, Amount = Rs. (30000 + 4347) = Rs. 34347.Let the time be n years.,,,,,,,
Question 180,What will be the compound interest on a sum of Rs. 25000 after 3 years at the rate of 12 p.c.p.a.?,Rs. 9000.30,Rs. 9720,Rs. 10123.20,Rs. 10483.20,C, C.I. = Rs. (35123.20 - 25000) = Rs. 10123.20,,,,,,,
Question 181,At what rate of compound interest per annum will a sum of Rs. 1200 become Rs. 1348.32 in 2 years?,6%,6.50%,7%,7.50%,A,,,,,,,,
Question 182,The least number of complete years in which a sum of money put out at 20% compound interest will be more than doubled is:,3,4,5,6,B,,,,,,,,
Question 183,Albert invested an amount of Rs. 8000 in a fixed deposit scheme for 2 years at compound interest rate 5 p.c.p.a. How much amount will Albert get on maturity of the fixed deposit?,Rs. 8600,Rs. 8620,Rs. 8820,None of these,C,,,,,,,,
Question 184,The effective annual rate of interest corresponding to a nominal rate of 6% per annum payable half-yearly is:,6.06%,6.07%,6.08%,6.09%,D, Amount of Rs. 100 for 1 year when compounded half-yearly‰ö« Effective rate = (106.09 - 100)% = 6.09%,,,,,,,
Question 185,Simple interest on a certain sum of money for 3 years at 8% per annum is half the compound interest on Rs. 4000 for 2 years at 10% per annum. The sum placed on simple interest is:,Rs. 1550,Rs. 1650,Rs. 1750,Rs. 2000,C,,,,,,,,
Question 186,If the simple interest on a sum of money for 2 years at 5% per annum is Rs. 50 what is the compound interest on the same at the same rate and for the same time?,Rs. 51.25,Rs. 52,Rs. 54.25,Rs. 60,A,,,,,,,,
Question 187,The difference between simple interest and compound on Rs. 1200 for one year at 10% per annum reckoned half-yearly is:,Rs. 2.50,Rs. 3,Rs. 3.75,Rs. 4,B,,,,,,,,
Question 188,The difference between compound interest and simple interest on an amount of Rs. 15000 for 2 years is Rs. 96. What is the rate of interest per annum?,8,10,12,Cannot be determined,A,,,,,,,,
Question 189,The compound interest on a certain sum for 2 years at 10% per annum is Rs. 525. The simple interest on the same sum for double the time at half the rate percent per annum is:,Rs. 400,Rs. 500,Rs. 600,Rs. 800,B,,,,,,,,
Question 190,Two ships are sailing in the sea on the two sides of a lighthouse. The angle of elevation of the top of the lighthouse is observed from the ships are 30å¡ and 45å¡ respectively. If the lighthouse is 100 m high the distance between the two ships is:,173 m,200 m,273 m,300 m,C, Let AB be the lighthouse and C and D be the positions of the ships.,,,,,,,
Question 191,A man standing at a point P is watching the top of a tower which makes an angle of elevation of 30å¼ with the man's eye. The man walks some distance towards the tower to watch its top and the angle of the elevation becomes 60å¼. What is the distance between the base of the tower and the point P?,4 ‰ö_3 units,8 units,12 units,Data inadequate,D, One of AB AD and CD must have given.So the data is inadequate.,,,,,,,
Question 192,The angle of elevation of a ladder leaning against a wall is 60å¼ and the foot of the ladder is 4.6 m away from the wall. The length of the ladder is:,2.3 m,4.6 m,7.8 m,9.2 m,D, Let AB be the wall and BC be the ladder.,,,,,,,
Question 193,An observer 1.6 m tall is 20‰ö_3 away from a tower. The angle of elevation from his eye to the top of the tower is 30å¼. The heights of the tower is:,21.6 m,23.2 m,24.72 m,None of these,A, Let AB be the observer and CD be the tower.‰ö« CD = CE + DE = (1.6 + 20) m = 21.6 m.,,,,,,,
Question 194,From a point P on a level ground the angle of elevation of the top tower is 30å¼. If the tower is 100 m high the distance of point P from the foot of the tower is:,149 m,156 m,173 m,200 m,C,,,,,,,,
Question 195,The angle of elevation of the sun when the length of the shadow of a tree ‰ö_3 times the height of the tree is:,30å¼,45å¼,60å¼,90å¼,A,,,,,,,,
Question 196,Find the simple interest on Rs. 5200 for 2 years at 6% per annum.,Rs. 450,Rs. 524,Rs. 600,Rs. 624,D, I = PTR/100I = 5200*2*6/100I = 624.,,,,,,,
Question 197,Rs. 1200 is lent out at 5% per annum simple interest for 3 years. Find the amount after 3 years.,Rs. 1380,Rs. 1290,Rs. 1470,Rs.1200,A, A = P+IA = 1200+(PTR/100)A = [1200+(1200*5*3/100)]Amount A = Rs. 1380.,,,,,,,
Question 198,Interest obtained on a sum of Rs. 5000 for 3 years is Rs. 1500. Find the rate percent.,8%,9%,10%,11%,C, Let rate is R%.We haveI = PTR/100Here 1500 = 5000*3*RThus R = 10%.,,,,,,,
Question 199,Rs. 2100 is lent at compound interest of 5% per annum for 2 years. Find the amount after two years.,Rs. 2300,Rs. 2315.25,Rs. 2310,Rs. 2320,B, We can use formula of compound interest;A = P*[1+ (r/100)]nA = 2100*[1+(5/100)]2A = 2100*[105/100]2A = (2100*11025)/10000Hence Amount A = Rs. 2315.25.,,,,,,,
Question 200,Find the difference between the simple interest and the compound interest at 5% per annum for 2 years on principal of Rs. 2000.,5,10.5,4.5,5.5,A, The difference between compound interest and simple interest over two years is given byPr2/1002 or P(r/100)2Here Principal (P) = Rs. 2000Rate (r) = 5%Now difference D = (2000*5*5)/(100*100)D = Rs. 5.,,,,,,,
Question 201,Find the rate of interest if the amount after 2 years of simple interest on a capital of Rs. 1200 is Rs. 1440.,8%,9%,10%,11%,C, Amount A = Rs. 1440Principal P = Rs. 1200Interest I = Rs. (1440-1200) = 240R = (240*100)/(1200*2) = 10%.AlternativelyWe can go through a thought process i.e.1200----20%‰ Ô(240 in 2 years)--->1440.That means 10% rise in each year.,,,,,,,
Question 202,What is the difference between the simple interest on a principal of Rs. 500 being calculated at 5% per annum for 3 years and 4% per annum for 4 years?,Rs. 5,Rs. 10,Rs. 20,Rs. 40,A, I‰â = PT‰âR‰â/100I‰â = (500*3*5)/100 = Rs. 75I‰â = PT‰ââR‰ââ/100I‰ââ = (500*4*4)/100 = Rs. 60Difference = Rs. 5.AlternativelyThe interest is calculated simply and then it will have a rise of 15% in first case and 16% in 2nd case.Difference = 1% 0n 500 = Rs. 5.Otherwise 500-----15%‰ Ô----> 575 (1st case);500-----16%‰ Ô----> 580 (2nd case);We can see clear difference of Rs. 5.,,,,,,,
Question 203,What is the simple interest on a sum of Rs. 700 if the rate of interest for the first 3 years is 8% per annum and for the last 2 years is 7.5% per annum?,Rs. 269.5,Rs. 283,Rs. 273,Rs. 280,C, 1st case:I‰â = 700*3*8/100 = Rs. 1682nd case:I‰ââ = 700*2*7.5/100 = Rs. 105Then total interest for five years = (I‰â+I‰ââ) = Rs. 273AlternativelyAs interest is calculated as simple interest so we can add up rates for all given 5 years and calculate it easily i.e.For the five years rate = (8*3+7.5*2) =39%.Now700-----39%‰ Ô---> 973.Interest= Rs. 273.(The thought can go this way we internally calculated 10% of 700 = (700/10) = 70. Then 39% 0f 700 = (40%- 1%)of 700 = (280-7) = 273.),,,,,,,
Question 204,Find the compound interest on Rs. 1000 at the rate of 20% per annum for 18 month when interest is compounded half yearly.,Rs. 331,Rs. 1331,Rs. 320,Rs. 325,A, Given principal P = Rs. 1000Compound rate R = 20% per annum = 20/2 = 10% half-yearlyTime = 18 month = 3 half-yearsAmountA = {P*[1+ (R/100)]n }= {1000*[1+(10/100)]3}= {(1000*11*11*11/10*10*10)}A = Rs. 1331Hence compound interest = Rs. 331.,,,,,,,
Question 205,Find the principal if the interest compounded at the rate of 10% per annum for two years is Rs. 420.,Rs. 1000,Rs. 2200,Rs. 2000,Rs. 1100,C, GivenCompound rate R = 10% per annumTime = 2 yearsCI = Rs. 420Let P be the required principal.A = (P+CI)Amount A = {P*[1+ (R/100)]n }(P+CI) = {P*[1+10/100]2}(P+420) = P*[11/10]2P-1.21P = -4200.21P = 420Hence P = 420/0.21 = Rs. 2000.AlternativelyWe can go through the method option checking. In option checking method it is always better to choose the middle option first to proceed.2000(P)---10%‰ Ô---‰ Õ2200-----10%‰ Ô--‰ Õ2420(A).Then required principal is Rs. 2000 as it is giving CI Rs. 420 for two years.,,,,,,,
Question 206,In what time will Rs. 3300 becomes Rs. 3399 at 6% per annum interest compounded half-yearly?,6 months,1 year,1(1/2) years,3 months,A, P = Rs. 3300A = Rs. 3399R = 6% per annumLet the time be n years.Compound interest is taken half-yearly.A = P*[1+ (R/2*100)]2n3399 = 3300(1+3/100)2n(1.03)2n = 3399/3300(1.03)2n = (1.03)1Thus 2n = 1 yearn = 1/2 year = 6 months.Alternatively3300-----3%‰ Ô(1st time interval 99)---‰ Õ3399.Here time interval is given as half-yearly i.e. 6 months.,,,,,,,
Question 207,Rahul purchased a Maruti van for Rs. 1 96000 and the rate of depreciation is 14(2/7) % per annum. Find the value of the van after two years.,Rs. 140000,Rs.144000,Rs. 150000,Rs. 160000,B, Value of Maruti Van V0= Rs. 196000Rate of depreciation r = 14(2/7)% = 100/7%; Time t = 2 yearsLet V1 is the value after depreciation.V1 = V0*[1-(r/100)]tV1 = 196000*[1-((100/7)/100)]2V1 = 196000*(6/7)2V1 = (196000*36)/49 = Rs. 144000.,,,,,,,
Question 208,What is the rate of simple interest for the first 4 years if the sum of Rs. 360 becomes Rs. 540 in 9 years and the rate of interest for the last 5 years is 6%?,4%,5%,3%,6%,B, Interest for the last 5 years = PTR/100;= 360*5*6/100 = Rs. 108.Interest for year = 540-360 = 180;So interest for first four years = 180-108 = Rs. 72;Now rate for first four years = (72*100)/360*4;= 5%.,,,,,,,
Question 209,What will be the simple interest on Rs. 700 at 9% per annum for the period from February 5 1994 to April 18 1994?,Rs. 12.60,Rs. 11.30,Rs. 15,Rs. 13,A, Here time interval is given as February 5 1994 to April 18 1994 = 72 days = 72/365 = 0.197 years;Now interest = PTR/100;= (700*9*0.197)/100;= Rs. 12.41.,,,,,,,
Question 210,Asif borrows Rs. 1500 from two moneylenders. He pays interest at the rate of 12% per annum for one loan and at the rate of 14% per annum for the other. The total interest he pays for the entire year is Rs. 186. How much does he borrow at the rate of 12%,Rs. 1200,Rs.1300,Rs. 1400,Rs. 300,A, Let Asif lent Rs. X at 14% per year.Hence Money lent at 12% = (1500-x);Given total interest = Rs. 186.{(X*14*1)/100} + {[(1500-x)*12*1/100]} = 186;14x/100 + (18000 -12x)/100 = 186;14x+18000-12x = 186*100;2x = 18600-18000;X = 600/2 = Rs. 300.Hence money lent at 12% = 1500-300 = Rs. 1200.,,,,,,,
Question 211,A sum was invested at simple interest at a certain interest for 2 years. It would have fetched Rs. 60 more had it been invested at 2% higher rate. What was the sum?,Rs. 1500,Rs. 1300,Rs. 2500,Rs. 1000,A, Let the rate be R at which Principal P is invested for 2 years.According to question(Interest at Rate (R+2)) % - (interest at rate R %) = Rs. 60;(P*2*(R+2))/100 - (P*2*R)/100 = 60;(2PR+4P-2PR)/100 = 60;4P = 60*100;Or P = 60*100/4;Hence P = Rs. 1500.,,,,,,,
Question 212,The difference between simple and compound interest on a sum of money at 20% per annum for 3 years is Rs. 48. What is the sum?,Rs. 550,Rs. 500,Rs. 375,Rs. 400,C, Let sum is P.The difference between compound interest and simple interest over three years is given by= P(r/100)2*{(r/100)+3};48 = P*(20/100)2*{(20/100)+3};48 = P* 4/100* 16/5;48 = P*64/500;Or 64P = 48*500;Hence P = Rs. 375.,,,,,,,
Question 213,In what time will the simple interest on Rs. 1750 at 9% per annum be the same as that on Rs. 2500 at 10.5% per annum in 4 years?,6 years and 8 months,7 years and 3 months,6 years,7 years and 6 months,A, Let time is T years.According to questions1750*9*T/100 = (2500*10.5*4)/100;Or T = (2500*10.5*4)/1750*9;Or T = 6.66 = 6 years and 8 months.,,,,,,,
Question 214,Raju lent Rs. 400 to Ajay for 2 years and Rs. 100 to Manoj for 4 years and received together from both Rs. 60 as interest. Find the rate of interest simple interest being calculated.,5%,6%,8%,9%,A,Let rate is R%.According to the question[400*2*R/100] + [100*4*R/100] = 60;8R+4R = 60;Hence R = 5%.,,,,,,,
Question 215,A sum becomes 4 times at simple interest in 10 years. What is the rate of interest?,10%,20%,30%,40%,C, 1st Method:Let rate is R%.NowP = 100;A = 400;I = 400-100 = 300;Time T = 10 years;I = PTR/100;Or R = (100*I)/PT;Or R = (100*300)/(100*10);Hence R = 30%;2nd Method:Here the sum becomes 4 times that means 100 become 400;Rate of such question is given by;R= interest/time = 300/10 = 30%;3rd Method:Here 300% of rise in the sumso100------300%‰ Ô----400;R=(total percentage rise/given time) = 300% /10 = 30%.,,,,,,,
Question 216,A sum of money placed at compound interest doubles itself in 4 years. In how many years will it amount to 8 times?,9 years,8 years,27 years,12 years,D, LetPrincipal = Rs. 100.Amount = Rs. 200.Rate = r%Time = 4 years.NowA = P*[1+ (r/100)]n;200 = 100*[1+(r/100)]4;2 = [1+(r/100)]4; ........... (i)If sum become 8 times in the time n yearsthen8 = (1+(r/100))n;23 = (1+(r/100))n; ........ (ii)Using eqn (i) in (ii) we get;([1+(r/100)]4)3 = (1+(r/100))n;[1+(r/100)]12 = (1+(r/100))n;Thus n = 12 years.,,,,,,,
Question 217,Divide Rs. 6000 into two parts so that simple interest on the first part for 2 years at 6% p.a. may be equal to the simple interest on the second part for 3 years at 8% p.a.,Rs. 4000 Rs. 2000,Rs. 5000 Rs. 1000,Rs. 3000 Rs. 3000,None of these,A, Let 1st part is x and 2nd part is (6000-x).According to question(X*2*6/100) = ((6000-x)*3*8)/100;12x = 144000- 24x;Or 36x = 144000;Or x = 144000/36 = Rs. 4000.1st part = Rs. 4000;2nd part = Rs. 2000.,,,,,,,
Question 218,A sum of money becomes 7/4 of itself in 6 years at a certain rate of simple interest. Find the rate of interest.,12%,12(1/2)%,8%,14%,B, Let sum is Rs. 100 then it become 7/4 times i.e. Rs. 700/4 in 6 years.Interest = (700/4)-100 = Rs. 300/4;Hence Rate = Total interest/ given time = 300/4*6 = 12(1/2)%.,,,,,,,
Question 219,If a certain sum of money becomes doubles at simple interest in 12 years what would be the rate of interest per annum?,8(1/3),10,12,14,A, LetPrincipal P = Rs. 100;Amount A = Rs. 200;Time = 12 years;Interest = Rs. 100;Rate of interest = total interest / given time = 100/12 = 8(1/3)%.,,,,,,,
Question 220,If a sum of Rs. 13040 is to be repaid in two equal installments at 3(3/4)% per annum what is the amount of each installment?,7045,8000,65067,6889,D, Let each installment be P.Hence[x/{(100/100+r) + (100/100+r)2}];Or x/(1+(15/400)) + x/(1+(15/400)2) = Rs. 13040;On solving it gives x = Rs. 6889.,,,,,,,
Question 221,What is the amount of equal installment if a sum of Rs. 1428 due 2 years hence has to be completely repaid in 2 equal annual installments starting next year?.,700,800,650,cannot be determined,D, As short-cut of installment for 2 installments is given byInstallment = [P/{(100/100+R) + (100/100+R)2}]There is the need of rate (R) which is unavailable in the question so we cannot determine the answer.,,,,,,,
Question 222,A milkman sells cow milk at the rate of Rs. 55 litre including a profit 12 per cent. He also sells buffalo milk at the rate of Rs. 36 per litre including a profit of 20%. How much profit will he earn in five days if he sells 8 litres of cow milk and 10 litres of buffalo milk per day?,Rs. 632,Rs. 624,Rs. 646,None of these,D, Total cow milk sold in five days = 5*8 = 40 litresTotal buffalo milk sold in five days = 5*10 = 50 litreshenceSP of 40 litres cow milk = 40*55 = Rs. 2200.HenceProfit on cow milk = (2200*12)/112 = Rs. 235.71Profit on buffalo milk = (50*36*20)/120 = Rs. 300ThusTotal Profit = 235.71+300 = Rs. 535.71.,,,,,,,
Question 223,The population of vultures in a particular locality is decreases by certain rate of interest (compounded annually). If the current population of vultures be 29160 and the ratio of decrease in population for second year and 3rd year be 10:9. What was the population of vultures 3 years ago?,30000,35000,40000,50000,C, Decrease in second / decrease in third year= 100/(100-r) = 10/9‰ Õ r = 10%Let the population of vultures 3 years ago be P thenP*[1-(10/100)]3 = 29160.‰ Õ P = 40000.AlternativelyOnce we get the rate of decrement of population we can use graphical method to calculate.100 ----10%‰ Ò--->90 ----10%‰ Ò--->81----10%‰ Ò--->72.9Now comparing72.9% = 29160.So 100% = 40000.,,,,,,,
Question 224,A man had 1000 hens at the beginning of year 2001 and the number of hens each year increases by 10% by giving birth. At the end of each year we double the no. of hens by purchasing the same no. of hens as there is the no. of hens with us at the time. What is the no. of hens at the beginning of 2004?,10600,10648,8848,8226,B, 1000 ---10%‰ Ô--->1100----Double--->2200 ---10%‰ Ô---> 2420----Double--->4840 ---10%‰ Ô--->5324----Double--->10648,,,,,,,
Question 225,The difference between simple and compound interest for the fourth year is Rs. 7280 at 20% p.a. What is the principal sum?,10000,50000,70000,40000,B, Difference between Ci and SI for nth year= (Pr /100) *[(1 +(r /100))n-1 -1]‰ Õ 7280 = (20P/100) *[(1.2)3-1]‰ Õ P = 50000.,,,,,,,
Question 226,A sum of Rs. 210 was taken as a loan. This is to be paid back in two equal installments. If the rate of the interest be 10% compounded annually then the value of each installment is:,Rs. 121,Rs. 127,Rs. 210,Rs. 225,A, Let X = equal installment at the end of one year( rate% annually) .Now 1st yearP =210Interest = PTR/100 = 210 *0.1 = 21.Let X is to be paid as an equal installment.Now at the beginning of 2nd yearP =210+21- XInterest at the end of 2nd year= (231-X)*0.1 = 23.1-0.1X.Hencetotal installment2X = 210+21+23.1- 0.1XX = 254.1/2.1 = 121.,,,,,,,
Question 227,There is a decrease of 10% yearly on an article. If this article was bought 3 years ago and present cost is Rs. 5832 then what was the cost of article at buying time?,Rs. 7200,Rs. 7862,Rs. 8000,Rs. 8500,D,No explanation,,,,,,,
Question 228,A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is:,Rs. 650,Rs. 690,Rs. 698,Rs. 700,C,S.I. for 1 year = Rs. (854 - 815) = Rs. 39.S.I. for 3 years = Rs.(39 x 3) = Rs. 117.Therefore Principal = Rs. (815 - 117) = Rs. 698.,,,,,,,
Question 229,Mr. Thomas invested an amount of Rs. 13900 divided in two different schemes A and B at the simple interest rate of 14% p.a. and 11% p.a. respectively. If the total amount of simple interest earned in 2 years be Rs. 3508 what was the amount invested in Scheme B?,Rs. 6400,Rs. 6500,Rs. 7200,Rs. 7500,A, Let the sum invested in Scheme A be Rs. x and that in Scheme B be Rs. (13900 - x).Then‰àÕ 28x - 22x = 350800 - (13900 x 22)‰àÕ 6x = 45000‰àÕ x = 7500.So sum invested in Scheme B = Rs. (13900 - 7500) = Rs. 6400.,,,,,,,
Question 230,A sum fetched a total simple interest of Rs. 4016.25 at the rate of 9 p.c.p.a. in 5 years. What is the sum?,Rs. 4462.50,Rs. 8032.50,Rs. 8900,Rs. 8925,D, Principal,,,,,,,
Question 231,How much time will it take for an amount of Rs. 450 to yield Rs. 81 as interest at 4.5% per annum of simple interest?,3.5 years,4 years,4.5 years,5 years,B, Time =,,,,,,,
Question 232,Reena took a loan of Rs. 1200 with simple interest for as many years as the rate of interest. If she paid Rs. 432 as interest at the end of the loan period what was the rate of interest?,3.6,6,18,Cannot be determined,B, Let rate = R% and time = R years.,,,,,,,
Question 233,A sum of Rs. 12500 amounts to Rs. 15500 in 4 years at the rate of simple interest. What is the rate of interest?,3%,4%,5%,6%,D, S.I. = Rs. (15500 - 12500) = Rs. 3000.,,,,,,,
Question 234,An automobile financier claims to be lending money at simple interest but he includes the interest every six months for calculating the principal. If he is charging an interest of 10% the effective rate of interest becomes:,10%,10.25%,10.50%,None of these,B, Let the sum be Rs. 100. ThenS.I. for first 6 months =S.I. for last 6 months =So amount at the end of 1 year = Rs. (100 + 5 + 5.25) = Rs. 110.25‰ö« Effective rate = (110.25 - 100) = 10.25%,,,,,,,
Question 235,A lent Rs. 5000 to B for 2 years and Rs. 3000 to C for 4 years on simple interest at the same rate of interest and received Rs. 2200 in all from both of them as interest. The rate of interest per annum is:,5%,7%,9%,10%,D, Let the rate be R% p.a.Then,,,,,,,
Question 236,A sum of Rs. 725 is lent in the beginning of a year at a certain rate of interest. After 8 months a sum of Rs. 362.50 more is lent but at the rate twice the former. At the end of the year Rs. 33.50 is earned as interest from both the loans. What was the original rate of interest?,3.60%,4.50%,5%,None of these,D, Let the original rate be R%. Then new rate = (2R)%.Note:Here original rate is for 1 year(s); the new rate is for only 4 months i.e. 1/3 year(s).,,,,,,,
Question 237,A man took loan from a bank at the rate of 12% p.a. simple interest. After 3 years he had to pay Rs. 5400 interest only for the period. The principal amount borrowed by him was:,Rs. 2000,Rs. 10000,Rs. 15000,Rs. 20000,C, Principal =,,,,,,,
Question 238,A sum of money amounts to Rs. 9800 after 5 years and Rs. 12005 after 8 years at the same rate of simple interest. The rate of interest per annum is:,5%,8%,12%,15%,C, S.I. for 3 years = Rs. (12005 - 9800) = Rs. 2205.S.I. for 5 years =‰ö« Principal = Rs. (9800 - 3675) = Rs. 6125.Hence rate =,,,,,,,
Question 239,What will be the ratio of simple interest earned by certain amount at the same rate of interest for 6 years and that for 9 years?,1:03,1:04,2:03,Data inadequate,C, Let the principal be P and rate of interest be R%.Therefore Required ratio =,,,,,,,
Question 240,A certain amount earns simple interest of Rs. 1750 after 7 years. Had the interest been 2% more how much more interest would it have earned?,Rs. 35,Rs. 245,Rs. 350,Cannot be determined,D, We need to know the S.I. principal and time to find the rate.Since the principal is not given so data is inadequate.,,,,,,,
Question 241,A person borrows Rs. 5000 for 2 years at 4% p.a. simple interest. He immediately lends it to another person at 6(1/4) p.a for 2 years. Find his gain in the transaction per year.,Rs. 112.50,Rs. 125,Rs. 150,Rs. 167.50,A, Gain in 2 years‰ö« Gain in 1 year,,,,,,,
Question 242,Find the remainder when 73 *75 *78 *57 *197 *37 is divided by 34.,32,30,15,28,A, Remainder(73 *75 *78 *57 *197 *37)/34 ===> (5 *7 *10 *23 *27 *3)/34[We have taken individual remainder which means if 73 is divided by 34 individually it will give remainder 5 75 divided 34 gives remainder 7 and so on.](5 *7 *10 *23 *27 *3)/34 ===> (35 *30 *23 *27)/34 [Number Multiplied](35 *30 *23 *27)/34 ===> (1*-4*-11* -7)/34[We have taken here negative as well as positive remainder at the same time. When 30 divided by 34 it will give either positive remainder 30 or negative remainder -4. We can use any one of negative or positive remainder at any time.](1 *-4 *-11 * -7)/34 ===> (28 *-11)/34 ===> (-6 *-11)/34 ===> 66/34 ===R===> 32.Required remainder = 32.,,,,,,,
Question 243,Find the remainder when 6799 is divided by 7.,4,6,1,2,C, Remainder of 6799/7==R==>(63+4)99/7[63 is divisible by 7 for any power so required remainder will depend on the power of 4.]Require remainder:499/7==R==>4(96+3)/743/7==> 64/7==> (63+1)/7==R==>1.Note:4/7 remainder = 4(4*4)/7 = 16/7 remainder = 2(4*4*4)/7 = 64/7 = 1(4*4*4*4)/7 = 256/ 7 remainder = 4(4*4*4*4*4)/7 = 2If we check for more power we will find that the remainder start repeating themselves as 4 2 1 4 2 1 and so on. So when we get A number having greater power and to be divided by the other number B we will break power in (4n+x) and the final remainder will depend on x i.e. Ax/B.,,,,,,,
